episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
22,-1.0,-0.20199999999999999,-0.028881898770374607,0.1703351401657146,nan,-0.0006119678150946254,nan,0.2915095226683428,1.0,nan,nan,0.0
23,0.0,-0.04,-0.0026595744680851063,-0.023924566072425005,-0.008616906188667096,-0.0002269902276897112,-0.00052559441808453,-0.03075876457487242,1.0,1.0,1.0,1.0
24,0.0,-2.278,-0.20792259948886457,-0.05377463197443676,-0.042943239223168145,-0.0006206498985132627,-0.0009720288204236416,-0.082126509539516,1.0,1.0,1.0,1.0
25,0.0,-3.004,-0.33737646001796945,-0.06804466020642891,-0.05805756139402845,-0.0004232673131748419,-0.000767703834211268,-0.09508199864440475,1.0,1.0,1.0,1.0
26,0.0,-0.404,-0.03310390036053753,-0.049072242350473805,-0.03762562601735041,-0.00035478268685591654,-0.0007497728305846877,-0.0535523395703546,1.0,1.0,1.0,1.0
27,0.0,-0.608,-0.0494469746258946,-0.03793868975067634,-0.01851732782329677,-0.00023174021747501448,-0.0005071339046163744,-0.07296715746407145,1.0,1.0,1.0,1.0
28,0.0,-0.20600000000000002,-0.028219178082191782,-0.015232731222150409,-0.02894661784908554,-0.0004108864431655937,-0.000580423530550394,0.0771053498999354,1.0,1.0,1.0,0.0
29,0.0,-0.916,-0.15897257896563693,0.03618034438301787,-0.03940014068498504,-0.00043802254557669476,-0.0007884948420758853,0.25510396013812536,1.0,1.0,1.0,0.0
30,0.0,-2.492,-0.35712238463743196,-0.06601658989804712,-0.06341464377243561,-0.00028322698850767906,-0.0012117777292010505,-0.09490669506644095,1.0,1.0,1.0,1.0
31,0.0,-3.474,-0.41288328975516997,-0.04077372782790677,-0.022601100281586982,-0.0002774548769931501,-0.0004919215296664169,-0.07650522945006125,1.0,1.0,1.0,1.0
32,0.0,0.354,0.03990081154192967,-0.016016845449111458,0.005774879476384687,6.290524903982049e-05,2.3656701687166317e-05,0.09152435034943981,0.0,0.0,0.0,0.0
33,0.0,-4.116,-0.4166835391779712,-0.07467675232678216,-0.06339471862344538,-0.0006272728029445066,-0.0009861027324972898,-0.11872120255099095,1.0,1.0,1.0,1.0
34,0.0,-5.28,-0.6541129831516352,0.8274964071032931,nan,0.00020558175710110884,nan,0.19013705293427197,1.0,nan,nan,0.0
35,0.0,-1.054,-0.0773067331670823,-0.03481418464840984,-0.02121856484721217,-0.00035362653978352507,-0.0007478703688205436,-0.054434666421662004,1.0,1.0,1.0,1.0
36,0.0,-2.064,-0.23232778027915355,-0.01464495129053435,0.006248473700315229,3.354084767104835e-05,-3.928788327314152e-05,0.1193808903177696,1.0,0.0,1.0,0.0
37,0.0,-3.114,-0.26642710472279263,-0.06679311417254352,-0.060966952931001864,-0.0006195790623578711,-0.0011155417157597586,-0.12069293832664346,1.0,1.0,1.0,1.0
38,-1.0,-4.29,-0.4847457627118644,0.11780188191832278,0.20387330127653286,-0.000615703427555705,-0.0011458990027160092,-0.02245134769945306,1.0,0.0,1.0,1.0
39,-1.0,-1.564,-0.22549019607843138,0.5915393137795979,nan,-0.0001666722408314792,nan,0.1058898559278929,1.0,nan,nan,0.0
40,0.0,-0.078,-0.010391686650679457,-0.0022200886907342565,-0.01740245778811733,-0.0003858893467264912,-0.0005730472468693668,0.04590414703666851,1.0,1.0,1.0,0.0
41,0.0,-5.162,-0.5170272435897435,-0.04704405485299583,-0.044661030924148026,-0.0005606942187294308,-0.000872526462789919,-0.09410119175178794,1.0,1.0,1.0,1.0
42,0.0,0.0,0.0,0.06831420865817373,-0.03909080316700056,-0.0006148751073760153,-0.0010821114322730765,0.15204664507582732,0.0,1.0,1.0,0.0
43,0.0,-3.484,-0.5107006742890647,0.6452078378748273,nan,4.3317265411582434e-05,nan,0.16859496663890353,1.0,nan,nan,0.0
44,-1.0,-4.718,-0.5571563533301842,0.21265473726979064,nan,-6.668876307271599e-05,nan,0.15636803794350249,1.0,nan,nan,0.0
45,-1.0,-2.144,-0.30778064886592016,0.6197588624624423,nan,-0.00026631858912796774,nan,0.018351600872156315,1.0,nan,nan,0.0
46,-1.0,-2.2800000000000002,-0.3498005523166616,0.5577355294636552,nan,-0.00010365350697744027,nan,0.051823341323594785,1.0,nan,nan,0.0
