episode,random_mpc_on,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_p95,hold_err_mean,attach_err_mean,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed
1,1,0,0,0.0,0.0,0,0.44442220191777576,0.744409356228923,0.37992811854715897,nan,0.0007000268226151431,nan,0.5448218091944944,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401
1,0,1,148,0.296,0.04461863129333735,11,0.13878005044680972,0.6985097316226396,0.39012738801285396,0.055586558043737765,0.0015604119056769439,0.001449173270524767,0.34506875713470014,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401
2,1,1,467,0.934,0.09245693921995644,4,0.13014028989199944,0.806135874459615,0.5105110092155604,0.026821175392258728,0.001125223523229462,0.0007070460739247734,0.23708037444266886,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890
2,0,1,2218,4.436,0.43912096614531776,20,0.19218152900169755,0.9634258917025267,0.6361284765879659,0.07127735153471104,0.0015444820589833278,0.0014272140098348272,0.36547293532001035,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890
3,1,1,0,0.0,0.0,0,0.14197779620754528,0.7597373161177219,0.40777067661778565,0.028932092327700932,0.0009189512553375736,0.0005733544025849013,0.4109491199455812,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469
3,0,1,168,0.336,0.0456149877816997,4,0.14054141549564095,0.7093422691383566,0.3648883146570782,0.049668412097097825,0.001457899551231949,0.0013266970755781264,0.3241362046976834,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469
4,1,1,0,0.0,0.0,0,0.08663728392018828,0.38510602193883137,0.4140405681087894,0.023137785178885407,0.0007564901250783312,0.00034495287421712825,0.2900830467777391,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554
4,0,1,57,0.114,0.008123129542539546,5,0.10192182048952875,0.6556172060472387,0.5430628670255648,0.02329281582375026,0.0008778138048857716,0.0006892725314682219,0.24230263668156093,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554
5,1,0,0,0.0,0.0,0,0.9911087506566678,1.2195449410457733,0.9555093386165814,nan,0.0014524810081988384,nan,0.365855586659058,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603
5,0,1,1214,2.428,0.3295331161780673,20,0.19859523351535957,0.9302972801228699,0.4311226739733075,0.07948734998012552,0.0016982066302804503,0.0015398047733241305,0.3438054794514574,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603
