episode,manip_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms,qdot_norm_mean,qdot_norm_p95,cond_log10_mean,cond_log10_p95,manip_w_mean,manip_w_p10,manip_risk_mean,manip_risk_p95
1,1,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,57,0.114,0.01320361362056984,5,0.09744509732198509,0.008195042207476633,0.6204878209151632,780,0.36741234386634164,0.9802870706119875,3537,0.021770917707572807,0.037217498396577814,0.0009580105924040196,0.0006767708960451234,0.16288372426009856,1.1799635940525566,4.879342634617618,2.3015108364947756,3.8152836389981264,0.13703178379439607,0.08603078976919057,0.040697296366479487,0.21565789171358105
1,0,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,73,0.146,0.016909891128098216,2,0.09759487791647761,0.0030700253835271923,0.6185716727619656,770,0.3691966673587102,0.980529620408506,3547,0.02276149951428881,0.03844191455864381,0.0009569020179564282,0.0006715742012259651,0.15717758315597793,1.1865794942872294,4.918457273592336,2.312202392251481,3.8528753689200244,0.0,0.0,0.0,0.0
2,1,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,1,26,0.052000000000000005,0.004296810444554619,2,0.1509031689665931,0.010862587631547791,1.0492449190029713,1055,0.6472963444034194,1.4154020786649422,4996,0.03432452013220175,0.13577551957035885,0.0010346917707758638,0.0007484653138451854,0.1964892919501901,1.336688994911129,4.238454431772086,2.8204643295605245,6.083254638938429,0.17093442530760622,0.14825089762802302,0.027332471591191766,0.06404802635834213
2,0,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,1,94,0.188,0.0155346223764667,3,0.15126884666923557,0.011318938004473061,1.0611289313838432,900,0.769681431523553,1.4252786756825695,5151,0.03478008517808502,0.13643326436691872,0.0010362418097517733,0.0007514007965261222,0.19855056451884937,1.3055048993441536,4.173680228602733,2.8957194811424776,6.122164825037514,0.0,0.0,0.0,0.0
3,1,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,1,55,0.11,0.01174460815716421,2,0.10288915001827151,0.006497893012186555,0.6373114860266881,850,0.39118421741057474,1.0136523885007955,3833,0.022904398328478497,0.03278419135728584,0.0009578898196943001,0.0006862465878172581,0.1543794854798099,1.196498370963606,5.086531477354919,2.3449428902229386,4.313312482845149,0.13950951405284606,0.10055568377526272,0.03350988482114849,0.06751623347911846
3,0,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,1,56,0.112,0.01195814648729447,2,0.10176691602219293,0.006608421937176717,0.6348665196821941,840,0.38995680331241045,1.0139430184482303,3843,0.02296421566563831,0.03326821807451889,0.0009606149111723916,0.0006901055887534629,0.15087935784390005,1.1979004362659964,5.123598491316002,2.3474948730490004,4.243662711610343,0.0,0.0,0.0,0.0
4,1,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,119,0.23800000000000002,0.014843457652488462,3,0.10433064992334333,0.010393189070296256,0.7774852607461281,890,0.6501636546535391,1.2204671288805564,7127,0.03084357989226312,0.09284517463259782,0.0007145479424467845,0.00048253529445717856,0.1395423162825865,1.093512853029759,4.392717064641444,3.1069243182774757,6.4338180821385,0.17009813008504132,0.1479093919527237,0.01923750675836206,0.0
4,0,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,654,1.308,0.08157664961955843,3,0.11994769890840999,0.006051509184502428,0.7587317978889321,1665,0.450514184760039,1.1627583928876435,6352,0.03392178472316806,0.10063469349891038,0.0007134217623125993,0.0004870677959570142,0.14449785556773678,1.205192661842442,4.892996000160428,3.547648006731602,8.825947522134513,0.0,0.0,0.0,0.0
5,1,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,73,0.146,0.015584970111016226,2,0.14159714294998,0.0016845890876680963,0.8528537251939747,1085,0.4691967077852418,1.2553120390459984,3599,0.02246126280190065,0.037280527014696085,0.0011047466012717622,0.0006887056428337817,0.16828476764038666,1.2061974816957741,4.881167659879502,2.4826210165671103,6.166412651059434,0.13208890385474542,0.09005164516783584,0.03334158705095554,0.0538389191131046
5,0,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,74,0.148,0.015798462852263023,2,0.1432977557763591,0.0020464046237117814,0.8685337025765932,1105,0.4670432499552988,1.2520184170525845,3579,0.022497107029202844,0.0377619439654171,0.0010981238112888403,0.0006781122622772151,0.16512361279952922,1.2204487315922994,4.9667499658719265,2.5006780329614267,6.1792486091349685,0.0,0.0,0.0,0.0
6,1,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,287,0.5740000000000001,0.039640883977900554,5,0.1437468958686229,0.014786748195564695,1.0043664506652847,1355,0.5602735431354694,1.343808085600122,5885,0.03410115762329995,0.10263622823666507,0.0008415320062790777,0.0005321294917545308,0.18228000751085727,1.3363465178145784,4.614182350887009,3.2163852989718484,6.089792358674935,0.15629236606485475,0.13393104352717008,0.022194205549680032,0.007004377047224773
6,0,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,231,0.462,0.031906077348066296,5,0.14510792110268128,0.010765710536309795,0.9618930428869794,1450,0.5330893885296836,1.3375647766421899,5790,0.03224606575973259,0.10067015641161346,0.0008475514900666727,0.0005345027847950777,0.19202206770054722,1.3401267460283883,4.733596583604635,3.211671265594497,6.252985053536392,0.0,0.0,0.0,0.0
7,1,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,25,0.05,0.0041974479516454,3,0.09722920463015274,0.007909443564863006,0.6081347679177981,965,0.422874949260685,1.0256696924391229,4991,0.020888101329748145,0.024509462631929574,0.0006813107056300185,0.00044228514238058914,0.1337407699139956,0.9768320176641178,5.095696698227934,2.3135936296869684,4.295065854236947,0.1249156392240125,0.10610598067709398,0.02587709962882014,0.0
7,0,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,25,0.05,0.0041974479516454,3,0.0954535960337574,0.007690308336932249,0.6222860388261402,935,0.4271110310079466,1.0268173551996234,5021,0.020871722245887937,0.024452409557429108,0.0006828496121747543,0.0004459086922202351,0.13008129754554076,0.9736263474650494,5.158355017828113,2.301103159374684,4.28734365955996,0.0,0.0,0.0,0.0
8,1,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,0,0.0,0.0,0,0.11312821103093518,0.00688153330365234,0.647973743489995,1175,0.26354384707244904,0.9679247439809928,3007,0.02307637603784415,0.0445840174851308,0.0009103650364274204,0.00029459648243797536,0.18399586368801119,1.4525025378881096,5.571340261318682,2.276723105762401,4.005991746260586,0.12519364000750427,0.07008076883898522,0.04642005549712129,0.1990604005572907
8,0,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,67,0.134,0.01602104256336681,12,0.10249453685917415,0.0024477736498779027,0.6467407341960196,815,0.3635911148522676,0.9877680891778896,3367,0.021475906843996747,0.03906928890105701,0.0009973806447709566,0.0005742259382639939,0.16219446324285214,1.195971042099101,5.104449652651766,2.2384043170544574,4.008555216036821,0.0,0.0,0.0,0.0
9,1,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761,5.871161076011888,11.871161076011887,5936,11.872000000000634,1,186,0.372,0.03133423180592992,5,0.15059914927036944,0.014817884252710672,1.0546227362984943,865,0.7669269529846099,1.431146535345098,5071,0.03708482082499944,0.15286069430069216,0.0010656474286293537,0.0007850620243027134,0.20072449196341574,1.3353928163580977,4.378669668533084,2.8303684245635554,6.1520787957933845,0.17057523526834717,0.14742052742157066,0.027914519321549227,0.06948408328505179
