time,phase,target_err,hold_err,offset_hit,ori_dotY,base_x
0.0,hold,0.5621414194184001,0.41368203213237703,0,0.17249220866358747,-0.5011181001110593
0.010000000000000009,hold,0.5544460614823159,0.4063325705068272,0,0.17517077218035915,-0.4985256174096076
0.020000000000000018,hold,0.5479542343391497,0.40049059757218086,0,0.17795314236901458,-0.49524942189662796
0.030000000000000027,hold,0.5429127087776828,0.39606147011576565,0,0.1809175836441786,-0.49215929011540954
0.040000000000000036,hold,0.5380267114358976,0.39216825076075706,0,0.18437087769819582,-0.48924749521592753
0.050000000000000044,hold,0.5330199846932631,0.3884079865728272,0,0.18845657222816917,-0.48616400632424206
0.06000000000000005,hold,0.5283611904118769,0.3847346625127004,0,0.1932138313273471,-0.48333807635516013
0.07000000000000006,hold,0.5232156825876686,0.3806500027184717,0,0.19863914407177102,-0.48034262493637037
0.08000000000000007,hold,0.5177598527524057,0.37613016534794946,0,0.20470428162030774,-0.47729427620143877
0.09000000000000008,hold,0.5110475679652854,0.3706952266836026,0,0.21136143066959623,-0.4744845746055121
0.10000000000000009,hold,0.504779767352124,0.36511620236393194,0,0.21855659265238125,-0.4714503307385856
0.1100000000000001,hold,0.49745800083405906,0.3587238607933811,0,0.2262328652702441,-0.4685741244143696
0.1200000000000001,hold,0.4894991997045699,0.35174473740823503,0,0.23433815123594953,-0.4656526149294619
0.13000000000000012,hold,0.48128333779898363,0.34440594093950216,0,0.24282604763065396,-0.46231350353123746
0.14000000000000012,hold,0.4731511158889632,0.3368606172116187,0,0.25165587383356647,-0.4593901469296475
0.15000000000000013,hold,0.46490865344895027,0.32908431246240977,0,0.2607930509703456,-0.45652685569373513
0.16000000000000014,hold,0.4555410939877763,0.3206887360140607,0,0.2702091388830371,-0.45313410031939205
0.17000000000000015,hold,0.44702613647479605,0.31253842927809333,0,0.2798851551724481,-0.45043007314578787
0.18000000000000016,hold,0.43844982302203034,0.3042801018062787,0,0.28980701011451165,-0.447858392203203
0.19000000000000017,hold,0.4300434862894739,0.2960317615756989,0,0.299966302470946,-0.44564243622192895
0.20000000000000018,hold,0.42087576788121983,0.28746690666649194,0,0.3103595946573312,-0.4421904345438736
0.2100000000000002,hold,0.4118296342100478,0.27893160567108427,0,0.3209896242129685,-0.43887171743896636
0.2200000000000002,hold,0.40255591902057075,0.27029309474367125,0,0.33186325104854053,-0.43531154427915986
0.2300000000000002,hold,0.39304491519062656,0.2615048285558891,0,0.3429911933440122,-0.43235646382538007
0.2400000000000002,hold,0.3844762185427347,0.2531555848021228,0,0.3543880879333854,-0.42938393076530035
0.2500000000000002,hold,0.3756095212620104,0.24467361129984036,0,0.3660663701495396,-0.4262653559340925
0.26000000000000023,hold,0.36690928495870984,0.23628258170951508,0,0.3780401843160304,-0.42291184031769113
0.27000000000000024,hold,0.357861949830764,0.22771675137468875,0,0.39032390604470746,-0.41964009019360443
0.28000000000000025,hold,0.349192632479293,0.21930067363596817,0,0.40293450156736804,-0.4167812986320938
0.29000000000000026,hold,0.34004058300655415,0.2106357698186991,0,0.41588809014878597,-0.4139635892777121
0.30000000000000027,hold,0.33160362272769456,0.20230834022997318,0,0.4292036020198903,-0.41110596339721306
0.3100000000000003,hold,0.32320230081968987,0.19397709294487123,0,0.44289606550545063,-0.4083437997255765
0.3200000000000003,hold,0.31444425893686506,0.18546981875426102,0,0.4569799696141591,-0.40528304609747823
0.3300000000000003,hold,0.3060167086321016,0.17709504178540075,0,0.47147264112125087,-0.40239007178538566
0.3400000000000003,hold,0.2978486243094421,0.16881362038556505,0,0.48639046361329963,-0.39971560270673967
0.3500000000000003,hold,0.2888692806399013,0.16018431066576283,0,0.501748531249623,-0.39588338839523796
0.3600000000000003,hold,0.2808508413344949,0.15194912517148776,0,0.5175685156987968,-0.39304755886077325
0.37000000000000033,hold,0.27252918238532553,0.143526944352392,0,0.533867099392063,-0.39026057830795097
0.38000000000000034,hold,0.2643537663010755,0.13518882047923353,0,0.5506647055603334,-0.38718948015345034
0.39000000000000035,hold,0.2557370947194758,0.12655069625942908,0,0.5679821259565162,-0.38448378147366585
0.40000000000000036,hold,0.24752803173215562,0.11817182904520208,0,0.5858496542529548,-0.38129124205430787
0.41000000000000036,hold,0.2394548176639294,0.10984029788858311,0,0.6042945938784512,-0.3782887934194616
0.4200000000000004,hold,0.2313984554765837,0.1014121452431152,0,0.623344616275296,-0.37603343812433493
0.4300000000000004,hold,0.22359309292132382,0.09321443835540694,0,0.6430340373313732,-0.37324343166666546
0.4400000000000004,hold,0.2153624525086066,0.08481584842278946,0,0.6633940996108308,-0.3703283016014277
0.4500000000000004,hold,0.20782378723038122,0.07688286876256745,0,0.6844690728390603,-0.3675557845051847
0.4600000000000004,hold,0.19973238825552556,0.06884273346416081,0,0.7062835436262723,-0.36427768550001227
0.4700000000000004,hold,0.1918822096694451,0.061074112681631695,0,0.7288199823554758,-0.36144632837134805
0.4800000000000004,hold,0.18429909781378204,0.05391369292511275,0,0.7520130592100648,-0.35842571459004136
0.49000000000000044,hold,0.17686492063280054,0.04693054093408665,0,0.7757461431758027,-0.3556714728856726
0.5000000000000004,hold,0.16993824247328468,0.04101672942646025,0,0.7998193732988206,-0.35223125198014243
0.5100000000000005,hold,0.16484005412408897,0.038491805097186825,0,0.8238670701455808,-0.348979886828109
0.5200000000000005,hold,0.15945253404649712,0.037518108603549115,0,0.8473605915997948,-0.3458168502052589
0.5300000000000005,hold,0.15506150243359032,0.038806030220793965,0,0.869832351777355,-0.34277011144686087
0.5400000000000005,hold,0.15123497082736356,0.041307900709779036,0,0.8908971797748952,-0.3396686361017342
0.5500000000000005,hold,0.14838796074496538,0.044236994384147264,0,0.9102531374422747,-0.3366575383202573
0.5600000000000005,hold,0.14647130122506338,0.04719225381781438,0,0.9275588127631195,-0.33323555217982154
0.5700000000000005,hold,0.1447092575406818,0.04925545788391129,0,0.9426331626400893,-0.32988021847640603
0.5800000000000005,hold,0.1432611793581625,0.04994577455855495,0,0.9554288797143616,-0.3270398212859716
0.5900000000000005,hold,0.14174743136877954,0.049588310730236715,0,0.9659948406830076,-0.324227112997394
0.6000000000000005,hold,0.14075762399659508,0.048611216146332605,0,0.9744484941043067,-0.321060484610539
0.6100000000000005,hold,0.1394623277263645,0.04648151108384769,0,0.9809558830416667,-0.31829766354250105
0.6200000000000006,hold,0.1384402604794485,0.044208963766542965,0,0.9857128453552172,-0.31496166420428107
