episode,target_err_mean,target_err_min,target_err_p95,hold_err_mean,hold_err_p95,attach_err_mean,attach_err_p95
1,0.10432403167475238,0.0010697989194704467,0.6204878209151635,0.36735893852853196,0.9802870706119875,0.030201772859581616,0.05726620085155542
2,0.14620947380259638,0.0008064202171193771,1.0492449190029847,0.6333914529523638,1.4108776554082674,0.0271740386055264,0.1225105595697608
3,0.09521310550410118,0.0021971971569155297,0.6373114860266879,0.39104315843046367,1.0136523885007955,0.01353266090444696,0.019136897964083438
4,0.09931148037846341,0.0018563638103419485,0.7774852607461261,0.6501544187597306,1.2204671288805564,0.02520112462289326,0.09581579759243396
5,0.13434783237431264,0.004188840529062372,0.8528537251939683,0.46909424354968254,1.2553120390459984,0.013034504716728613,0.016199816720078204
6,0.15847573520410418,0.0019300852718015953,1.004366450665311,0.534934345649673,1.3381836618310887,0.05057532861124562,0.0723378976849667
7,0.10968469813006124,0.0013151846466266,0.6081347679177936,0.4465602131503683,1.0277212774675746,0.0367544080840269,0.06479332089107877
8,0.09521963977052086,0.0007712969497170672,0.6479737434899953,0.36399567503659125,0.987791883963583,0.012449842259015503,0.021202114962379632
9,0.15159973813443475,0.0018804078443248903,1.054622736298481,0.7669068539823383,1.431146535345098,0.038261313330895455,0.14014314222101848
10,0.16833818839869708,0.004053319578204792,0.9262142697603767,0.520126303197565,1.2920560863891917,0.0432670670448679,0.05211274375667743
11,0.09362377892589448,0.0013440491007267604,0.6359232669830717,0.3824379037971065,0.972548665240965,0.013264896823345782,0.019686053132860763
12,0.10697108191584628,0.00436238229289223,0.7023854029537652,0.4075373814615257,1.0552739207044972,0.013425779954364255,0.017507788362140977
13,0.11597334185973202,0.001372858956546263,0.6855117457047046,0.4968694751017806,1.0706129875415322,0.03677567657746403,0.060559612683411986
14,0.1342292907113871,0.0022295649181448113,0.7139586548007394,0.3759473133547282,1.0516252911814874,0.04274490701563964,0.0655488878234591
15,0.12161390988406126,0.004826188112468187,0.7808929904320059,0.4789071248195452,1.1759508111256012,0.011462419597566794,0.01065902564884816
16,0.10892655411219437,0.0033537191794694187,0.714524766295578,0.4201023773462672,1.076985504318319,0.01283854062590954,0.016561123449615252
17,0.11258859081553081,0.001063337297533871,0.622580488098899,0.43192038774254454,1.014158440644301,0.03619787576943755,0.06380269202307762
18,0.1040642034009152,0.00035919356578526396,0.6061725442878226,0.4410072773094758,1.0398425734585532,0.03267292113977034,0.05721791241207047
19,0.1616502265295367,0.001879905884128951,1.065694072926194,0.6391896141617757,1.3832186437107428,0.021697358017482706,0.11304642530118267
20,0.17254777500245977,0.004022235952221392,1.2001510013108307,0.6339728859188765,1.4810090990834222,0.011946577160605197,0.02506810544355888
21,0.20251355521287065,0.0006531105704194436,1.2427697065763024,0.5881128617304549,1.484858790084161,0.023305358409261536,0.07889127909732913
22,0.20478212231760623,0.001605299045692151,1.142169987676783,0.6303814664327406,1.5055433003974545,0.0512123907729507,0.11529733498254627
23,0.2221470544691972,0.0068461486489839254,1.241432344161861,0.513138375898724,1.487704203468613,0.013296487552817687,0.028129308711608826
24,0.21008218535127673,0.005582117221951148,1.286707653945628,0.6319035427429279,1.5669405830999528,0.013056007070286672,0.02859017538752402
