episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
104,0,0.1,0.005414771496642842,0.0034689077411028807,0.0012032613751127366,6.908584121392012e-06,7.336843586498818e-06,0.011302719961631902,0,0,0,0
105,0,-0.01999999999999999,-0.0009725734292939103,0.0023308877025208785,0.001228354109392961,3.3807160936614035e-05,5.072302205654108e-05,0.009509599418505654,1,0,0,0
106,1,-5.838,-0.5771055753262159,-0.04232093279889251,-0.04083632906387005,7.283784856202975e-05,0.00018626489596359412,-0.03395594244513281,1,1,0,1
107,0,-0.008,-0.000869187309865276,-0.0011127254534873815,0.00011739165878552754,-6.331455964338813e-07,3.6319385474811944e-06,-0.0023247483927167356,1,0,0,1
108,0,0.0,0.0,-0.0009478665808929781,0.00027227445250610494,-6.124579865700959e-07,1.01444803867998e-05,-0.005294027509647969,0,0,0,1
109,0,-0.014000000000000005,-0.00157942238267148,-0.001433951969519287,1.2741094550950544e-05,-5.2225786064384085e-08,1.6034546379091116e-05,-0.0073907565316454205,1,0,0,1
110,0,0.0,0.0,-0.001301290466727112,2.0154585269480108e-05,3.1342489565886486e-06,2.0133796179885345e-05,-0.0037041795802646715,0,0,0,1
111,0,0.0,0.0,-0.0009629556073145473,0.00024030560752521385,2.6762138789364386e-06,1.5559806992773663e-05,-0.009880600331586886,0,0,0,1
112,0,-0.02600000000000001,-0.0028786536758193095,-0.0006279047917605168,7.639225803921998e-05,1.3654194841917653e-06,1.1448958406708979e-05,-0.0028758257036960444,1,0,0,1
113,0,-5.902,-0.5109072022160664,-0.02590059333327105,-0.030555278543747406,3.67578905567657e-05,8.179998082516395e-05,-0.03552023996459211,1,1,0,1
114,0,0.6219999999999999,0.05781743818553642,-0.0019527483313222793,0.0011302165974729148,6.386789936623069e-05,-3.039077486720039e-05,-0.0029630194997114223,0,0,1,1
115,-1,-0.0019999999999997797,-0.00020614306328592402,0.008343837047098845,0.0032242345033292596,5.995707329794586e-05,0.00013380833724643024,0.013944804919990395,1,0,0,0
116,1,-0.07400000000000073,-0.007797681770284504,0.006004985887437392,0.00011053384213023654,-8.985011320949369e-06,-8.240300294607068e-05,0.00977204221869149,1,0,1,0
117,0,0.052000000000000005,0.005849268841394826,-0.015596883220697605,-0.0008011129400014722,1.9682292234104895e-05,0.0001413206469165207,-0.06961111634893499,0,1,0,1
118,0,0.044,0.004690831556503198,-0.061885200079618646,0.0006637718417719998,-9.105600185781723e-05,0.0004537112751648763,-0.03697749552386753,0,0,0,1
119,0,0.274,0.02732349421619462,0.007842775598225465,0.0017785539072212933,-1.3478077186830206e-05,-7.070446947446472e-05,0.010388372643070354,0,0,1,0
120,0,0.0,0.0,-0.0013155938277958634,0.0001619592805779252,-2.6848259803303326e-07,3.498594332275776e-06,-0.0006775602063474329,0,0,0,1
