episode,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,win_attach_err_on
1,-0.0010971982745292541,-0.0009739948190830502,1
2,0.00042506628003477487,-0.00014726796348956545,1
3,-0.0010441108959841627,-9.178693951335248e-05,1
4,0.0036711671252813716,0.005890376625922466,0
5,-0.0083557265363359,-0.0020898871470313597,1
6,0.02430089325466478,0.02750385397824099,0
7,-0.0019549549733989813,-1.2554189650473835e-05,1
8,-0.00036338344688865987,-0.0001863516229425391,1
9,-0.0016831749454556955,0.002123306772492971,0
10,0.006482125281804085,0.0025545280871116585,0
11,-0.0014619438384440159,-0.0003774235673815029,1
12,-0.00021418422651629798,0.00022953397549461442,0
13,-0.0026442223762827427,0.0003408550502068536,0
14,-0.00012808881921760884,0.00029009117168653925,0
15,-0.05874703465675976,-0.043366557027598424,1
16,-0.0011730477734432088,-5.455145228339987e-05,1
17,-0.002773187718842038,-0.0008765227221351757,1
18,-0.002625038705961688,-0.0009404438346936952,1
19,0.004301196804710222,0.0019766796328067812,0
20,-0.0007086893869071298,-6.014541137395503e-05,1
21,0.003705147823982069,0.009155141879931692,0
22,0.0007627686221117758,-0.00036417126482403417,1
23,-0.002962970494960554,-0.006448494671829237,1
24,-0.01363006210480558,-0.010135344181049747,1
25,-0.00044799328219236045,0.00016834369596352254,0
26,0.0043590145947359216,-0.00018692532842083318,1
27,-0.004155386167373765,-0.006444335102480572,1
28,-0.0004129048690154624,-0.0005586596049740114,1
29,0.005831447340152007,0.0005317079832572735,0
30,-0.0012576849574674198,-0.0005812586636603639,1
31,0.007687492394116202,-0.004902645056702307,1
32,0.0006254213598126668,0.00025083784009521763,0
33,0.0059200775537023576,0.0025148094596373974,0
34,0.007348620432902853,-0.00027050225283838797,1
35,0.0025776958344075895,-0.006339164492177906,1
36,-0.03306115622094524,-0.022040771897576226,1
37,0.01853755888435088,0.009672919496149374,0
38,0.0010324099562466493,-0.002399017006047277,1
39,0.0016302971616462547,-0.00042899764337741425,1
40,0.0001369823863133779,-0.0006471960199796629,1
41,0.0031154786500536547,-0.014681778373780666,1
42,0.011587875690184657,-0.00018750266947227534,1
43,-0.00027759153342840626,-0.0027778937588099004,1
44,0.004678467310261641,0.00018551925942507375,0
45,5.088019210311434e-05,-7.436401483311428e-07,1
46,-0.028782132863271026,0.005040611967837512,0
47,-0.004159791533634133,-0.0012924432178129594,1
48,0.007635283497686163,0.0035788390733006298,0
49,0.017712573457612624,-0.0035008679512167004,1
50,-0.0014829831717307895,0.0006524157387272599,0
51,-0.0020228791345368036,0.00022916545590314329,0
52,-0.013846638549288304,-0.008260412452012922,1
53,0.013475408768715391,0.020162063135665872,0
54,-0.005817785108732251,-0.0040197474223706425,1
55,-0.032717067856442,-0.03906234772564224,1
56,-6.321962544884874e-05,6.160301574189078e-05,0
57,-0.000790683625245342,-0.006808195825750353,1
58,-0.02071881783087201,-0.02482841691446571,1
59,0.00031963401476370334,-7.684151834500864e-05,1
60,-0.001792666720923125,-0.0015493366120341648,1
61,-0.0009149074512693617,3.8503847871971045e-05,0
62,0.009288204220166643,0.007657364744597054,0
63,-0.00044200414739255234,-0.0002278502536830901,1
64,-0.0018319652480079662,-0.0001559476239006135,1
65,0.00039567455350932035,1.6750635764816932e-05,0
66,-0.02205807615389968,-0.0024348670650035237,1
67,-0.021879431065319865,-0.026025109193546496,1
68,-0.028020610187211026,-0.018097035245532328,1
69,-5.1456291181889435e-05,2.7298321647221263e-05,0
70,0.011332729232121697,0.0029467681310102814,0
71,0.12103319732698034,nan,0
72,-0.0007700737677899805,-8.642399077423216e-05,1
73,0.017900200922000772,0.022548206111143124,0
74,0.0043231382571332355,0.0023915566208638356,0
75,0.00027256161641163457,0.0003374984683879867,0
76,-0.0014278090866617493,-0.0003140681727994629,1
77,-0.0028222277361556747,-0.002868520785832128,1
78,-0.0009163798532258322,-0.0003088447687003698,1
79,-0.003193943442114794,-0.0066585094935859845,1
80,0.00425750826646723,0.0008719321844450553,0
81,-0.006602220029170047,-0.0015654325782157481,1
82,-0.0004306176234497444,-0.0003953908066641875,1
83,-0.00047803916779737277,8.540389577128653e-05,0
84,0.001303535682075252,-0.0023924935662500355,1
85,-0.0006167557468264168,-0.00024127911288487035,1
86,-0.0003456040441206648,0.00045778050651105323,0
87,0.01126991407292488,0.0013330497524433535,0
88,0.011542202797841516,0.0021796472531700126,0
89,0.00020335383169814425,0.00023823223497863866,0
90,-0.03969887083697721,-0.0050217498761570695,1
91,0.005306189949069701,-0.0033779396748145826,1
92,-0.0008803904015652064,-0.0001595168599300284,1
93,-0.0008160091345310733,-0.00015117057634406704,1
94,-0.0003254097130512279,-0.0013350185661742606,1
95,0.0028687135700940503,-0.0009702901665127467,1
96,-0.0008279309265318002,-0.001126561928438588,1
97,0.0006162951503650427,-0.0006491579730755082,1
98,-0.0008444100383265679,6.601086113330185e-07,0
99,0.00015830699030695838,-0.0001410038569839775,1
100,-0.023901610245191995,-0.02882647226376757,1
101,-0.0006488565976473237,-0.00016300208096074222,1
102,-0.0007608913763022945,-4.586374908815624e-05,1
103,-0.00336670772113154,0.0005935924537179421,0
104,0.00029005744539685463,0.005092787701404495,0
105,0.0009686654141485007,0.00018794144348318123,0
106,-0.03859382827251523,-0.03614092660169935,1
107,-0.0012284750094811725,2.2856670767675696e-05,0
