episode,target_err_mean,target_err_min,target_err_p95,hold_err_mean,hold_err_p95,attach_err_mean,attach_err_p95
1,0.10542122994928163,0.0012185495308539615,0.618802880132315,0.36551546945248387,0.9794510590864329,0.031175767678664666,0.05944737371036473
2,0.1457844075225616,0.002683281394780312,1.0396106456922973,0.6217108804361299,1.4063128091385533,0.027321306569015966,0.12057018598245761
3,0.09625721640008535,0.0024168915565423808,0.6348308203819139,0.3849168265877906,1.0129073891829776,0.013624447843960313,0.020124797752441564
4,0.09564031325318204,0.0054103481129228696,0.7982839200107322,0.6511715607582033,1.2199489749545287,0.019310747996970794,0.08589278234059351
5,0.14270355891064854,0.00016130442498446342,0.8482073054207613,0.46675157479088,1.2491609368289252,0.015124391863759972,0.0254565318835158
6,0.1341748419494394,0.005897133942613504,0.9897632261156245,0.5550701261879166,1.3431675900698168,0.02307147463300463,0.09493775502361704
7,0.11163965310346022,0.0008307990595694686,0.6010097405249497,0.42973018698609644,1.0255278729216417,0.03676696227367737,0.06406977546645092
8,0.09558302321740952,0.0008521251715057621,0.6461499896884401,0.36427362378227146,0.987706422997304,0.012636193881958042,0.02224740300996845
9,0.15328291307989045,0.0019371136635166876,1.0459866080851339,0.61998253840669,1.4141372102235206,0.036138006558402484,0.12867846886738513
10,0.161856063116893,0.0021324190471884562,0.9195771364344963,0.5499731908364744,1.300712837822567,0.04071253895775624,0.04592004499586821
11,0.09508572276433849,0.001398452327905494,0.6340320256717279,0.37687679618414116,0.9720183782381379,0.013642320390727285,0.02093234683708258
12,0.10718526614236258,0.0042371606784952125,0.6997514554942,0.40310234799275274,1.0548143858459635,0.01319624597886964,0.016902364345710612
13,0.11861756423601476,0.0007431764779109703,0.6807882493768801,0.4727556570930451,1.0634064072880391,0.036434821527257175,0.05970711441840978
14,0.1343573795306047,0.0014686271745571943,0.7114480289869184,0.3738127226704431,1.051313940519433,0.0424548158439531,0.06587156272552407
15,0.18036094454082102,0.03684900270395102,0.7777201884363079,0.3835850053432334,1.1121879769129128,0.05482897662516522,0.05657211061467837
16,0.11009960188563758,0.0034306265175838694,0.71203281222621,0.4141419722940591,1.076132279207533,0.01289309207819294,0.018801323964887085
17,0.11536177853437285,0.0011915647692123377,0.618689779499871,0.417638128238358,1.0121782217737205,0.03707439849157273,0.0648613875274608
18,0.10668924210687689,0.0012841901067245447,0.5999651971920091,0.42646517081128266,1.0378484110262793,0.03361336497446404,0.05898751952204134
19,0.15734902972482648,0.0020183897639309855,1.0606535464294327,0.6503593738984227,1.3853383341403636,0.019720678384675925,0.07403812841482278
20,0.1732564643893669,0.0040967438623556824,1.1893700492342578,0.6425774926174318,1.4812162814675325,0.012006722571979152,0.02052364492745341
21,0.19880840738888858,0.004258083747117478,1.2318505984040096,0.5422071312506498,1.4657988748976811,0.014150216529329844,0.055457718978387
22,0.20401935369549445,0.002730464450057393,1.1371519326552726,0.6284224914941546,1.505502242131582,0.051576562037774734,0.1167417644193016
23,0.22511002496415775,0.007084914590261112,1.2108387601293529,0.5557770517195448,1.5045278962702844,0.019744982224646924,0.0891957341351127
24,0.2237122474560823,0.001209539197439066,1.2831962301140687,0.565552241084247,1.5345386476924847,0.02319135125133642,0.11552957298612862
25,0.22834032173210186,0.0019856754801006174,1.351132394083797,0.6432017610411772,1.5936286942684748,0.012915852047189489,0.026925775747943616
26,0.27060472818021475,0.005758074413973177,1.4276421282088683,0.6687177810976538,1.7234089415149862,0.012328903955556072,0.0248229346470281
27,0.2542321708179772,0.0012812628581571558,1.4015927834879818,0.6735795058354958,1.7484193703001365,0.035639616163798696,0.1056961708038023
28,0.1988155424928241,0.0011381164792100946,1.0546609951879495,0.6016321731295222,1.4120892403355305,0.058461287426148124,0.131845317236446
29,0.2030242197084658,0.0002841608923061997,1.1187262637827398,0.5907696917533554,1.440052927085163,0.035162477024054874,0.06014636444894586
30,0.2645002461405431,0.00038422644180053663,1.5371099288318686,0.6561262563409028,1.8356408343131005,0.037281965675575186,0.07730916442591475
31,0.22223515110551256,0.0016473298282929773,1.284001367685417,0.6947106422170624,1.6026395785288223,0.06272682111854676,0.1481283723601141
32,0.18388635327269656,0.005390148447999767,1.200671900215256,0.6422611234045731,1.4868456325847397,0.012651960619603955,0.02966371402319898
33,0.17471612211538223,0.006037411049865628,1.1934561710304548,0.624348997705001,1.4818417382384852,0.012512609159030604,0.026293615086079514
34,0.21972956425802312,0.0015168189806071283,1.372517668742062,0.7416382301631943,1.713071212279485,0.046553604727266926,0.09003215979924833
35,0.2595012787772203,0.004807281427668586,1.2740021905114107,0.5704579817999335,1.5202539668054666,0.01836570668647277,0.09717964972726464
36,0.22698617572509583,0.0002315284012511349,1.1833162275421842,0.47030372408582416,1.3759701460500509,0.035941945543643564,0.0629115758276383
37,0.24316636441371248,0.004873363812468031,1.2468323499533362,0.5507333893759555,1.453360995227977,0.02479738188451664,0.12836835552072337
38,0.22852300263050968,0.005279906474636807,1.3841547563114167,0.6694513587584695,1.6973410062971162,0.038866168105692926,0.11466561038735493
39,0.2310848109565861,0.0004042913572223396,1.3719251238305394,0.7727327938738862,1.6972566018214015,0.037328329349808405,0.0739986932630973
40,0.17367382610282384,0.0023784745496848096,1.0698453395831278,0.6106708202130635,1.4411917361557465,0.02856618199085863,0.03554738712061136
41,0.1666582934210422,0.0017909883022367526,1.0944391100655935,0.5971020215495286,1.4139445492872684,0.03460467838557198,0.05569483859607198
42,0.19503127651185848,0.00041261404950648805,1.032395716335532,0.5220645099941739,1.350231378960101,0.036383476375398675,0.06837322687596516
43,0.15036820782599944,0.0015489863659293552,0.8275539913934069,0.4401704176460386,1.2198528946277785,0.037646277995585425,0.0674071874523219
44,0.17699955021229374,0.0021523251329277934,0.9660236892567003,0.5691159349419779,1.3767839293200772,0.06316001236919253,0.0732345745565586
45,0.12442148386969921,0.004308268027634464,0.7794085893810998,0.43883304235610143,1.1492270931626138,0.013283029265850116,0.01967362183730426
46,0.20365556264382445,0.027717127578909557,0.9359855730650203,0.4457191513151744,1.2616111963837309,0.034928933103652464,0.050681135798906485
47,0.15066327514946443,0.0016452872358861765,0.8460196098287863,0.5088213443898947,1.220620247083848,0.055296798504515986,0.06437793056242387
48,0.170264103226603,0.003454504556918831,1.0070207733691596,0.5722217894048787,1.3838363040613348,0.03009118820725748,0.03960053151535562
49,0.20725222185607856,0.008225021566322719,0.9534131472813379,0.4281518778303777,1.2684238185276397,0.04274829412648014,0.10989641660636089
50,0.09453921920773783,0.004633233128570727,0.6244055279431384,0.4229373337209368,1.0467052948372242,0.011825479791539702,0.016171352200826127
51,0.10634484297257608,0.005718870041875084,0.6833111376012908,0.4125192270555088,1.0347640284026058,0.01157980521002792,0.010889698268422638
52,0.14786754881016947,0.0008192016709562735,0.7734867895828684,0.41730341897429646,1.1279333795111277,0.04368562060493424,0.05163501524933872
