episode,random_mpc_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
7,1,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,658,1.316,0.11047683008730692,3,0.08881422759109273,0.009649093801617097,0.3994182930204321,1530,0.2470410338737931,0.9749911186212378,4426,0.021240324148933752,0.0599742657216582,0.0007624956629538653,0.0003529915616822071,0.1803706821319671
7,0,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,73,0.146,0.012256548018804566,2,0.10922292360779591,0.0011474068625722186,0.6032374002964496,910,0.4428712133012562,1.027520290074882,5046,0.03668985932277326,0.06478672986699455,0.001150332578068091,0.0011001197486080715,0.28504261875190146
8,1,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,762,1.524,0.18220946915351507,1,0.13771687751246336,0.006192024434892876,0.617914035748849,1500,0.3439932951170196,0.9267217674693686,2682,0.023259810644374233,0.06092902977849033,0.0011318936682153796,0.00023207759856939419,0.20273711296453867
8,0,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,0,0.0,0.0,0,0.09496888841094078,0.0007932662743309106,0.6487498958317228,805,0.36709866085468174,0.987828745132308,3377,0.012645272286169096,0.022062357650989062,0.0009148959374048216,0.0003754729642526632,0.182981269904497
9,1,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761,5.871161076011888,11.871161076011887,5936,11.872000000000634,0,777,1.554,0.13089622641509435,3,0.1645708974060628,0.023994442855186295,0.656775485911787,3510,0.205079852741083,1.0260757550848087,2426,0.02948885700928822,0.05844930717651504,0.0009888856315334164,0.0001453206210778564,0.19625786404532033
9,0,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761,5.871161076011888,11.871161076011887,5936,11.872000000000634,1,85,0.17,0.014319407008086253,1,0.1369455978558516,0.0006130367769927301,0.9342313018135562,1080,0.6300351822410352,1.4148708047550462,4856,0.013968677236409354,0.023475415978718956,0.0008950838371556844,0.0005129119602312001,0.1612408714371597
10,1,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000,4.163684982941093,10.163684982941092,5082,10.164000000000064,1,590,1.18,0.11609602518693428,1,0.136028505871582,0.004603161517633183,0.7023947657938411,2235,0.22950774165470247,1.143018967353884,2847,0.021760859706640205,0.08622570031975131,0.001021859646250834,0.00016256751684476912,0.20911282797988862
10,0,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000,4.163684982941093,10.163684982941092,5082,10.164000000000064,1,0,0.0,0.0,0,0.13640045894732666,0.002069434525337894,0.8997755171722264,1035,0.558929633743869,1.300871274947465,4047,0.012884552506860093,0.028185356809092215,0.0009204978680716763,0.0004788649703275219,0.17577825645714368
11,1,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449,2.702741743501177,8.702741743501177,4352,8.703999999999576,1,971,1.942,0.2231158088235294,1,0.12437619373010339,0.009737827860409788,0.5939150274994838,1695,0.28745158053677616,0.8878381792851423,2657,0.02083748964361592,0.08390623568534653,0.0009790716546515294,0.0001927998322860651,0.19312439552747138
11,0,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449,2.702741743501177,8.702741743501177,4352,8.703999999999576,1,0,0.0,0.0,0,0.09350906312756353,0.0013349493209727362,0.635615831027123,790,0.3814977470078856,0.9725258486515946,3562,0.013300383545915177,0.01980901013719362,0.0008279359790591014,0.0003623838347117265,0.17139750619763408
12,1,-0.635143779236128,0.4945097798234975,0.3876014879751466,0.016950959595316967,0.005,2106356452,672869837,2.91447167801394,8.914471678013939,4458,8.915999999999647,1,1042,2.084,0.23373710183938987,1,0.13335281486181522,0.012086978631896407,0.6279324479272065,1835,0.28839207287310076,0.9565845835550035,2623,0.02150616207610041,0.07792611786701989,0.0010607572984460982,0.00019968921591514147,0.19392987831839886
12,0,-0.635143779236128,0.4945097798234975,0.3876014879751466,0.016950959595316967,0.005,2106356452,672869837,2.91447167801394,8.914471678013939,4458,8.915999999999647,1,0,0.0,0.0,0,0.10727817951575308,0.004374152841016965,0.7076177700897499,895,0.40874970605586247,1.0550299460787345,3563,0.013352862800197882,0.01750580564171604,0.0008523248099727035,0.0003973261213572549,0.16985197475661706
13,1,-0.6301690767669349,0.21191340224661367,0.12409065579241241,0.010612911826852377,0.005,401942296,1809822167,6.786026503254552,12.786026503254552,6394,12.78800000000094,1,326,0.652,0.0509852987175477,2,0.08641676882336317,0.010087134716648863,0.35373649236104077,1170,0.29228465873859083,1.0489484030149177,5224,0.030036604281050622,0.03335150261591878,0.0007280175836627095,0.00024648818567595405,0.20373768806626125
13,0,-0.6301690767669349,0.21191340224661367,0.12409065579241241,0.010612911826852377,0.005,401942296,1809822167,6.786026503254552,12.786026503254552,6394,12.78800000000094,1,59,0.11800000000000001,0.009227400688145137,1,0.1156479537780817,0.001140371659524985,0.6345462758984605,925,0.4955162276035358,1.0719787405399461,5469,0.040596112552627635,0.07982158023919114,0.001189151046574016,0.001154499321672219,0.28239384358051034
14,1,-0.6417594234700046,0.3936703619484394,0.4854328613425538,0.007639015259593658,0.005,181052609,893821600,2.133003073905571,8.13300307390557,4067,8.133999999999386,1,715,1.43,0.17580526186378165,1,0.13370443695289164,0.0070057138068280855,0.6666075645775092,1420,0.35237045079132895,0.9957290765792247,2647,0.022482621589695436,0.10982515139082445,0.0010939319208056841,0.0002282132091328669,0.20219999774078776
14,0,-0.6417594234700046,0.3936703619484394,0.4854328613425538,0.007639015259593658,0.005,181052609,893821600,2.133003073905571,8.13300307390557,4067,8.133999999999386,1,1071,2.142,0.2633390705679862,18,0.13434480593515327,0.0017185806244990934,0.7191978969691434,920,0.3767557311070965,1.0513286127083898,3147,0.04243083179514383,0.0659261875615287,0.0011527723938600139,0.0008938912804622428,0.313737717123584
15,1,-0.7864379357557297,0.4548608398321157,0.2628596498814766,0.006004873660228977,0.005,1110496718,905784460,4.722287259180126,10.722287259180126,5362,10.72400000000025,1,746,1.492,0.1391271913465125,2,0.12889829333018102,0.01373674375012328,0.5755828547660126,2530,0.19494574434491077,0.9845081402761543,2832,0.02164527471496331,0.06901936842966894,0.000888464186421121,0.0001346085522428062,0.19172167955054326
15,0,-0.7864379357557297,0.4548608398321157,0.2628596498814766,0.006004873660228977,0.005,1110496718,905784460,4.722287259180126,10.722287259180126,5362,10.72400000000025,1,0,0.0,0.0,0,0.11381859376434664,0.0010959677593795783,0.7689446344895188,985,0.5005661453568672,1.1867964252582301,4377,0.011935454480367378,0.01981363600793143,0.000764870069422487,0.00038061665073232676,0.15653872414473877
16,1,-0.655045146105285,0.43837441647976216,0.34673638085383673,0.009477517570877203,0.005,1170918536,185381386,3.153460735480097,9.153460735480097,4577,9.153999999999726,1,1167,2.334,0.25497050469740007,1,0.1330261464711773,0.012284206104553733,0.6240922028840176,1995,0.26507604824852393,0.9546881981503111,2582,0.02086528694809881,0.08702876688108438,0.0010273646246960495,0.00018316296756945412,0.19594597549101841
16,0,-0.655045146105285,0.43837441647976216,0.34673638085383673,0.009477517570877203,0.005,1170918536,185381386,3.153460735480097,9.153460735480097,4577,9.153999999999726,1,0,0.0,0.0,0,0.10919959674917336,0.003356048881705072,0.7197154238505449,920,0.4204409730339046,1.0766507405094583,3657,0.01289049079084935,0.017261088398492268,0.0008120608230648954,0.00034959114597947895,0.16753797908416138
17,1,-0.5587129039270418,0.3375116959050686,0.18316068593876378,0.012614685097571701,0.005,1743464936,1937336380,4.8931057188317455,10.893105718831745,5447,10.894000000000307,1,728,1.456,0.13365155131264916,1,0.101683876390908,0.010602885402598261,0.4708947304038764,1735,0.22502849193609464,0.941129605760311,3712,0.02562273184420052,0.07914553322566385,0.0007900711893664762,0.00029246491194628204,0.20051582670907742
17,0,-0.5587129039270418,0.3375116959050686,0.18316068593876378,0.012614685097571701,0.005,1743464936,1937336380,4.8931057188317455,10.893105718831745,5447,10.894000000000307,1,0,0.0,0.0,0,0.11332154080989679,0.0004949184875680889,0.624866602235134,900,0.43183370993800696,1.0138204129123536,4547,0.036480413822906954,0.06374744042823706,0.001174674374300418,0.0011005356027146977,0.2836953831575548
18,1,-0.5970427230714846,0.6899618177180191,0.20904386884905107,0.013496013564680713,0.005,1590222927,1578902054,6.156624195081463,12.156624195081463,6079,12.15800000000073,0,976,1.952,0.1605527224872512,6,0.1023733650155721,0.021934752475437032,0.3789850780645271,1910,0.2210716236216238,0.9431401854583064,4169,0.030896106387986476,0.07895752214497119,0.0008126848449276795,0.00034390906519035283,0.17982689223706189
18,0,-0.5970427230714846,0.6899618177180191,0.20904386884905107,0.013496013564680713,0.005,1590222927,1578902054,6.156624195081463,12.156624195081463,6079,12.15800000000073,1,0,0.0,0.0,0,0.1043757669089461,0.001033046926723519,0.5922486948891069,915,0.43838343351918074,1.0394045045892848,5164,0.03286625122961962,0.057959137872773986,0.001184318445570009,0.0011098222574987804,0.2915437227426403
19,1,-0.5253693540627558,0.5289396458244653,0.21416777447299135,0.009700183649722454,0.005,1933157178,714513807,4.922818115291102,10.922818115291102,5462,10.924000000000317,1,819,1.6380000000000001,0.1499450750640791,5,0.11718081107859209,0.015537623910063407,0.4658788331920758,2530,0.18092787070902813,0.8120113881815686,2932,0.021763855767624005,0.05832789035836067,0.0008245631547792174,0.00013402118306246513,0.19081557571955396
19,0,-0.5253693540627558,0.5289396458244653,0.21416777447299135,0.009700183649722454,0.005,1933157178,714513807,4.922818115291102,10.922818115291102,5462,10.924000000000317,1,59,0.11800000000000001,0.010801904064445257,2,0.08701331551872822,0.003358340095996504,0.5910730751584714,875,0.40867439159763425,0.9924689986030149,4587,0.012049317707350155,0.01890293107195411,0.0007484761671279467,0.0003494265083227854,0.15794920832472337
20,1,-0.6563910220404613,0.5264845769251653,0.23162373964352825,0.014872179002127395,0.005,511007828,1463729499,5.106884125030044,11.106884125030044,5554,11.108000000000379,1,791,1.582,0.1424198775657184,2,0.12369406577126826,0.015466987442437364,0.5011867941996965,2655,0.18440152892575354,0.8784080107174542,2899,0.02170384058959366,0.06252134486547828,0.0008182262828788157,0.0001314571725889141,0.19509321229261176
