time,phase,hold_err,target_err,offset_hit,ori_dotY,base_x
0.002,hold,1.2336398988357162,1.2648237570197973,0,0.0,-0.7993713488945331
0.022000000000000006,hold,1.2306476430424849,1.2616511118356915,0,-3.509773793147243e-07,-0.7966781356286485
0.04200000000000002,hold,1.2233835603930237,1.2551544063329336,0,5.419340489215229e-06,-0.7882395296754472
0.06200000000000004,hold,1.2219164188008573,1.2535471605950281,0,0.0001014231829188649,-0.7903366959518926
0.08200000000000006,hold,1.2110308468033764,1.2430292074614613,0,0.0005749246848593707,-0.7829326716802302
0.10200000000000008,hold,1.1946903364291201,1.226476763166396,0,0.0019186605605045395,-0.7728810199440994
0.1220000000000001,hold,1.1788614449480328,1.2110122571245003,0,0.004597715348094984,-0.764769371093236
0.1420000000000001,hold,1.1629411978245539,1.195519732067791,0,0.008821000972792658,-0.7596289219646181
0.16200000000000012,hold,1.143007711177964,1.175817737532154,0,0.014529692596309068,-0.7540752344296959
0.18200000000000013,hold,1.1192659848651823,1.1523187071781997,0,0.021388765481821552,-0.7476959331044574
0.20200000000000015,hold,1.092955673195589,1.1259208049527334,0,0.028997494184411124,-0.7415238369058704
0.22200000000000017,hold,1.064849205176765,1.0980749683899174,0,0.03688272698664469,-0.733588395314419
0.2420000000000002,hold,1.0358676872511428,1.0691096889362957,0,0.044646356941393156,-0.7248630006108085
0.2640000000000002,hold,1.0089208102366012,1.042500357893681,0,0.052746319043745764,-0.719007882019642
0.2840000000000002,hold,0.9857626238575184,1.0195231239062517,0,0.059455477865857455,-0.713922486489882
0.3040000000000002,hold,0.9646227815489602,0.9988296988106762,0,0.06529774250226389,-0.7091506821535906
0.32400000000000023,hold,0.9424051290231252,0.9770535634079084,0,0.07002441787882867,-0.7019385005955409
0.34400000000000025,hold,0.9209532111122228,0.956092168963943,0,0.07373207161212214,-0.6948850690585606
0.36400000000000027,hold,0.9005890525650778,0.9361552748873418,0,0.07678473738385257,-0.6886432841214523
0.3840000000000003,hold,0.8814519273645669,0.9175270123869491,0,0.07981082636251746,-0.682439721523792
0.4040000000000003,hold,0.864630342081519,0.9011659336284074,0,0.08348266572182843,-0.6767057748269415
0.4240000000000003,hold,0.8514843057548581,0.8886686388343107,0,0.08832160837510608,-0.671834052240039
0.44400000000000034,hold,0.8402861402953534,0.8780279809450652,0,0.09374597712483052,-0.6661339215764299
0.46400000000000036,hold,0.8319802801296893,0.8704761363161079,0,0.09915993598076749,-0.6606213836192031
0.4840000000000004,hold,0.8248150121707106,0.8640841213535072,0,0.10421520488918748,-0.6545735968553659
0.5060000000000003,hold,0.8182834099326078,0.8583046752698481,0,0.10906968979744384,-0.6490238116638996
0.5260000000000004,hold,0.8108060836401143,0.8515459618524867,0,0.11275138141134586,-0.6428229202870664
0.5460000000000004,hold,0.8028646302166965,0.8439877027237834,0,0.11605663705783353,-0.6380473907774044
0.5660000000000004,hold,0.792762992049845,0.8342985173494228,0,0.11925565950746556,-0.6322735982403574
0.5860000000000004,hold,0.7806166797168234,0.8225991384643513,0,0.12256091277268621,-0.6254862430857321
0.6060000000000004,hold,0.7675679205530719,0.8098721584533405,0,0.12603896444788273,-0.6189570159316437
0.6260000000000004,hold,0.7548134381424115,0.7976252747568549,0,0.12966648774707631,-0.6130582996414315
0.6460000000000005,hold,0.7421791057975095,0.7853856531401533,0,0.13339751090299803,-0.6077860122758777
0.6660000000000005,hold,0.7289634407369282,0.7724601363424596,0,0.1371829024971246,-0.6020173768205028
0.6860000000000005,hold,0.7153946157682101,0.7591884394780147,0,0.14098229774252607,-0.5955672100743448
0.7060000000000005,hold,0.7031573858591977,0.7472329525957878,0,0.144767307018848,-0.5902198820851515
0.7260000000000005,hold,0.690766630583936,0.735257324648045,0,0.14852358581711544,-0.5839915330382273
0.7460000000000006,hold,0.6795755843412942,0.7243891525817374,0,0.15225150665621834,-0.5788070332031544
0.7660000000000006,hold,0.6684511100719817,0.7136967481057865,0,0.15596267045015683,-0.5730932191550316
0.7860000000000006,hold,0.6573645722994563,0.703132606685323,0,0.15967486938733164,-0.5669294191442702
0.8060000000000006,hold,0.6468379565785132,0.6931763431819636,0,0.16340804585311683,-0.5610514296121094
0.8260000000000006,hold,0.6358204709036683,0.6826498047989402,0,0.16718134702151477,-0.5545925324854848
0.8460000000000006,hold,0.6248661978267266,0.6722196755456298,0,0.17101107712933233,-0.5480397107013268
0.8660000000000007,hold,0.6138807045184937,0.6617273407004659,0,0.17490919929378784,-0.5414611320488895
0.8860000000000007,hold,0.6035684768350288,0.65185204679281,0,0.1788837783470213,-0.5357347869822384
0.9060000000000007,hold,0.5936669121531708,0.6424960296186466,0,0.18293997044563182,-0.5303359681406622
0.9260000000000007,hold,0.583007534202804,0.6323519560497087,0,0.18708558682070967,-0.5242619687966433
0.9460000000000007,hold,0.5722455888724421,0.6220838008886155,0,0.19133323307597702,-0.5182690038703059
0.9660000000000007,hold,0.5616580978814519,0.6121029479873852,0,0.19569392357009946,-0.5124692352162538
0.9860000000000008,hold,0.5508488383890112,0.6017608966608786,0,0.20017691699036377,-0.506866993161804
1.0080000000000007,hold,0.5391824040657122,0.5906545605104443,0,0.20523394500240927,-0.5011181001110593
1.0280000000000007,hold,0.5277763782173933,0.5798078736227017,0,0.21000669103808622,-0.49524942189662796
1.0480000000000007,hold,0.5158424711983154,0.5684566514052358,0,0.21508275862405724,-0.48924749521592753
1.0680000000000007,hold,0.5031845470014892,0.5562261843454192,0,0.22056153989699445,-0.48333807635516013
