time,phase,hold_err,target_err,ori_dotY,base_x
0.0,hold,1.2336398988357162,1.2648237570197973,0.0,-0.7993713488945331
0.01,hold,1.2286453532889985,1.2598305524550755,-4.401167961885713e-08,-0.7937978867477836
0.020000000000000004,hold,1.2306466610279538,1.2616501549288415,-4.0169134920786757e-07,-0.7966781356286485
0.030000000000000013,hold,1.2195931615556779,1.2505746195051386,-8.777939738569826e-07,-0.7847814368893128
0.04000000000000002,hold,1.2233626814824268,1.25513409502883,2.05265151795108e-06,-0.7882395296754472
0.05000000000000003,hold,1.2210649360416563,1.2527246426817673,1.9745004455344617e-05,-0.7873461978899199
0.06000000000000004,hold,1.2218170826308803,1.2534507059006177,7.773914688244486e-05,-0.7903366959518926
0.07000000000000005,hold,1.2173723775155256,1.2492462332442587,0.0002203562633289768,-0.7875362107582645
0.08000000000000006,hold,1.210535257475919,1.2425477115575587,0.0004941927515670222,-0.7829326716802302
0.09000000000000007,hold,1.2013291074537649,1.2332473275565325,0.000936803385549495,-0.7768888441885059
0.10000000000000007,hold,1.1932366922316293,1.225066509514677,0.0015777166327705667,-0.7728810199440994
0.11000000000000008,hold,1.185929550374654,1.2179134545405956,0.002438718775747761,-0.7701069271382903
0.12000000000000009,hold,1.1757496019446525,1.2079974197965908,0.0035342940057811307,-0.764769371093236
0.1300000000000001,hold,1.167527214451688,1.2001218804637885,0.004872990762071755,-0.7624807835203844
0.1400000000000001,hold,1.1575122367232702,1.1902620628942098,0.006457905052673716,-0.7596289219646181
0.1500000000000001,hold,1.1472049677697527,1.180153724587693,0.008273759562360926,-0.7574548596745408
0.16000000000000011,hold,1.1347155178012622,1.1677818782067106,0.010271645086710053,-0.7540752344296959
0.17000000000000012,hold,1.1211502345663296,1.1543677141304298,0.012422995253180571,-0.7503464939263923
0.18000000000000013,hold,1.1079379003000487,1.1413293398184021,0.014698241717034218,-0.7476959331044574
0.19000000000000014,hold,1.0926535159180237,1.1260540040511724,0.017076322369441187,-0.7435110415946364
0.20000000000000015,hold,1.0789491698964342,1.112311339368999,0.019528623737670208,-0.7415238369058704
0.21000000000000016,hold,1.0632130464953486,1.0966833988953777,0.022014772825167242,-0.7369508097676266
0.22000000000000017,hold,1.048747114029785,1.0824033539466635,0.02448520626357889,-0.733588395314419
0.23000000000000018,hold,1.0332934269639975,1.0669224115780291,0.026900954141644565,-0.7292685283655453
0.24000000000000019,hold,1.0182145017220277,1.0518976219059026,0.0292437961260979,-0.7248630006108085
0.25000000000000017,hold,1.0050019054313593,1.0389487157638237,0.03149673615467082,-0.7217910910373626
0.2600000000000002,hold,0.9921167768843024,1.0261335656773691,0.03364532236897795,-0.719007882019642
0.2700000000000002,hold,0.980448807175521,1.014538976158508,0.03568152617089485,-0.7171369782440981
0.2800000000000002,hold,0.9680872453473324,1.0022648051449672,0.037601030098480474,-0.713922486489882
0.2900000000000002,hold,0.9572463035868022,0.9916018715747336,0.039404076589743375,-0.7118336639724725
0.3000000000000002,hold,0.9463656457195628,0.9809539600519678,0.04109379291070402,-0.7091506821535906
0.3100000000000002,hold,0.9345811033461212,0.9693828820238137,0.04267632885190789,-0.7050480815394158
0.32000000000000023,hold,0.9238610727550368,0.9588302607424894,0.04416033577233488,-0.7019385005955409
0.33000000000000024,hold,0.9126013426899793,0.9476407171788637,0.04555496860350397,-0.6980903401274003
0.34000000000000025,hold,0.9024972284473776,0.9378713414303477,0.046869551468714896,-0.6948850690585606
0.35000000000000026,hold,0.8924687778353568,0.9279425735234108,0.04811151318074605,-0.6920326204341881
0.36000000000000026,hold,0.882276538965295,0.9179732737609131,0.0492884927767656,-0.6886432841214523
0.3700000000000003,hold,0.8719092394891624,0.9078964448899786,0.050405075950997344,-0.6848529486492891
0.3800000000000003,hold,0.8624280943341548,0.8985013972788916,0.05146359003563602,-0.682439721523792
0.3900000000000003,hold,0.8525285557737734,0.8886383361264669,0.052464030803095724,-0.679613851159705
0.4000000000000003,hold,0.8428526029109907,0.8792027552019817,0.053402446982392576,-0.6767057748269415
0.4100000000000003,hold,0.8334191243364248,0.8700377848126141,0.054269294181189906,-0.6740687542894903
0.4200000000000003,hold,0.8241026659144641,0.8608638915251574,0.05505016656891107,-0.671834052240039
0.4300000000000003,hold,0.8139593889102489,0.8508634017716133,0.055713786115720615,-0.6686712937874381
0.44000000000000034,hold,0.8042558122894379,0.8412717802738219,0.056208285731966484,-0.6661339215764299
