pos_weight,rot_weight,offset_y,offset_tol,offset_steps,grasp_tol,grasp_steps,success,dynamic_success,attach_time,grasp_time,min_hold_err,min_target_err,mean_attach_target_err,ori_dot_y_at_grasp,score
12.0,0.1,-0.13,0.018,8,0.02,10,1,0,4.431999999999734,4.669999999999708,0.004908062473930757,0.012477073743576261,0.08629044564017861,0.9964311910148884,105.3329044564015
12.0,0.1,-0.13,0.018,10,0.02,10,1,0,4.451999999999732,4.687999999999706,0.00490506897518871,0.01191723084936507,0.08572566476477456,0.9963744350791156,105.34525664764745
12.0,0.1,-0.13,0.02,8,0.02,10,1,1,2.031999999999998,2.321999999999966,0.01274464927123655,0.005401504085250051,0.08250076074998777,0.9975596255391173,2.9470076074998435
12.0,0.1,-0.13,0.02,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.00490506897518871,0.012263175140873214,0.08632836356882762,0.996409655976939,105.34128363568799
12.0,0.1,-0.13,0.022,8,0.02,10,1,1,2.021999999999999,2.311999999999967,0.01274464927123655,0.005401432455276324,0.0819977503493854,0.997463990063169,2.9319775034938207
12.0,0.1,-0.13,0.022,10,0.02,10,1,1,2.0419999999999967,2.3319999999999648,0.01274464927123655,0.0054020421470324775,0.0828464249769795,0.9977547170639056,2.9604642497697595
12.0,0.15,-0.13,0.018,8,0.02,10,1,0,4.431999999999734,4.669999999999708,0.00499619779410993,0.0121096683284773,0.08612413693998017,0.9967735088727052,105.3312413693995
12.0,0.15,-0.13,0.018,10,0.02,10,1,0,4.451999999999732,4.685999999999706,0.00499436457136165,0.01172224571333079,0.08618110178651096,0.996701079985419,105.34781101786481
12.0,0.15,-0.13,0.02,8,0.02,10,1,0,4.421999999999735,4.659999999999709,0.0052654915729115565,0.011921565844049783,0.086644950068757,0.9967758947601333,105.32644950068729
12.0,0.15,-0.13,0.02,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.00499436457136165,0.01177044455544032,0.08616438185308048,0.9967361827744494,105.33964381853052
12.0,0.15,-0.13,0.022,8,0.02,10,1,1,1.9420000000000015,2.231999999999976,0.01744114554606895,0.005426077561569002,0.08134714823246009,0.998834753835562,2.8454714823245766
12.0,0.15,-0.13,0.022,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.00499436457136165,0.01177044455544032,0.08616438185308048,0.9967361827744494,105.33964381853052
12.0,0.2,-0.13,0.018,8,0.02,10,1,0,4.431999999999734,4.667999999999708,0.005054326758409384,0.011770388640521398,0.0865983810355891,0.997004730128418,105.3339838103556
12.0,0.2,-0.13,0.018,10,0.02,10,1,0,4.451999999999732,4.685999999999706,0.005053433910969001,0.011636081714478101,0.08605257970070355,0.9969329154993631,105.34652579700675
12.0,0.2,-0.13,0.02,8,0.02,10,1,0,4.421999999999735,4.659999999999709,0.005317228721190909,0.012083302617309903,0.08650936371815153,0.9970235171544939,105.32509363718123
12.0,0.2,-0.13,0.02,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.005053433910969001,0.011553619603329617,0.08603217601120772,0.9969695306975167,105.3383217601118
12.0,0.2,-0.13,0.022,8,0.02,10,1,0,4.421999999999735,4.659999999999709,0.005317228721190909,0.012083302617309903,0.08650936371815153,0.9970235171544939,105.32509363718123
12.0,0.2,-0.13,0.022,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.005053433910969001,0.011553619603329617,0.08603217601120772,0.9969695306975167,105.3383217601118
12.0,0.25,-0.13,0.018,8,0.02,10,1,0,4.431999999999734,4.667999999999708,0.005089349517422598,0.011553486699715166,0.08651824445462795,0.997181476094422,105.33318244454598
12.0,0.25,-0.13,0.018,10,0.02,10,1,0,4.451999999999732,4.685999999999706,0.005089049735203687,0.011526534642370098,0.08598002066412153,0.9971091781389431,105.34580020664093
12.0,0.25,-0.13,0.02,8,0.02,10,1,0,4.421999999999735,4.659999999999709,0.005348213042608157,0.012022693258646786,0.08642851639291059,0.9972092803034359,105.32428516392882
12.0,0.25,-0.13,0.02,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.005089049735203687,0.011449608725523799,0.08595601389535185,0.9971470337699055,105.33756013895324
12.0,0.25,-0.13,0.022,8,0.02,10,1,0,4.421999999999735,4.659999999999709,0.005348213042608157,0.012022693258646786,0.08642851639291059,0.9972092803034359,105.32428516392882
12.0,0.25,-0.13,0.022,10,0.02,10,1,0,4.441999999999733,4.677999999999707,0.005089049735203687,0.011449608725523799,0.08595601389535185,0.9971470337699055,105.33756013895324
