episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,qdot_norm_mean_delta_on_minus_off,cond_log10_mean_delta_on_minus_off,manip_w_mean_delta_on_minus_off,manip_risk_mean_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_qdot_on,win_cond_on,win_manip_w_on,win_manip_risk_on
11,0,0.023999999999999994,0.002757352941176471,0.001027793586197201,5.9800280941366135e-05,-4.679734017018554e-06,-5.4461286621372475e-06,0.0034639019936141546,0.0025084249582913998,-0.0033593311819219984,0.11720908188078422,0.035641941623620776,0,0,0,1,1,0
12,0,0.008000000000000007,0.0008972633467922847,0.000801200278387218,1.0923523476400604e-05,-2.3474807280634592e-06,-4.7523348339872625e-06,0.0037768748056880297,-0.00808550806960473,0.003917221895053391,0.12260319633989346,0.03465977165010927,0,0,0,0,1,0
13,0,0.0,0.0,0.0020384911038811154,3.3850239963561374e-05,-2.1019254156208825e-06,-5.362066307768758e-06,0.0028356495714964847,-0.013579707880338465,0.025581364620312907,0.12525265318445725,0.024052879458273283,0,0,0,0,1,0
14,0,-0.114,-0.014015244652077699,0.0031061979514730303,-0.0017709757307981695,-2.9366392907347245e-05,-0.00012876723483090666,0.010384019922029863,-0.006611009186893835,0.024352685276222807,0.11041164636566385,0.04775714644276995,1,1,0,0,1,0
15,0,0.0,0.0,-3.52815553283925e-05,-2.421388097428867e-05,4.548077669228956e-06,-4.196069173043743e-06,0.00343485297488888,-0.01514763169631439,0.013316126659740135,0.1256110147582937,0.02861555525829581,0,1,0,0,1,0
16,0,0.02,0.002184837229626393,0.0007360563330339326,5.285864875050755e-06,-1.0101214830956834e-06,-5.469841471031768e-06,0.004445648634577609,-0.007445893261652126,0.008605684982772033,0.11962390511007981,0.03354798207177782,0,0,0,0,1,0
17,0,0.0,0.0,0.0014322637949565065,-1.7320219293157774e-05,5.0401393459059e-07,-1.432740806882847e-06,0.0033190329723947753,0.0024219449476613475,0.009564524592034385,0.11870809786081743,0.02833678829382234,0,1,0,0,1,0
18,0,0.0,0.0,0.0013907293181291691,-3.2411280179962115e-05,-2.236879102754429e-07,-1.5330994901638969e-06,0.0035963310982794483,0.005941036938606148,0.001771459261146191,0.13965619558642073,0.02533592448906914,0,1,0,0,1,0
19,0,0.002,0.00018308311973636038,0.0016784418978856575,-8.593054655031684e-05,-2.8970479466294916e-06,-4.047346816657394e-06,0.0035181869279586886,0.004111119031682042,0.0011108759407090218,0.12769823040149403,0.02834011609473037,0,1,0,0,1,0
20,0,0.0,0.0,0.001808131798672813,0.0001929783309031624,6.521400239987638e-07,-1.1509501954156233e-06,0.004290077948397197,-0.0022534118164849737,0.012457069012073774,0.12939559760824626,0.027704219245447775,0,0,0,0,1,0
21,0,0.0,0.0,0.0017047802141831186,-9.301310076454891e-05,-3.902108843460792e-07,-2.17965041931855e-06,0.003666966995457127,-0.011798751845315092,0.03239035693795511,0.12694409607372853,0.02437938233161144,0,1,0,0,1,0
22,0,-0.03,-0.0033355570380253496,-0.0005635362757420714,-0.0008860030203377417,1.635373501631147e-06,6.628217080091809e-06,0.006375677904950056,-0.02656545855796999,-0.006216028456277556,0.13704831926301453,0.03803537513440091,1,1,0,1,1,0
23,0,0.06800000000000003,0.003990610328638499,0.00039726074658820443,0.0026720947637283443,4.445340593797634e-05,0.00011123439017924654,0.021660467343161738,0.005806748089111746,-0.07429389731422242,0.1591826156830708,0.018123002897265893,0,0,0,1,1,0
24,0,0.0,0.0,-0.0026479025554269897,-0.0004443476529153688,1.3644408217564725e-05,-2.2366359048477374e-06,-0.00039494499133196914,-0.04722830156049751,0.08167071768486522,0.13248215798135604,0.023776638625922067,0,1,1,0,1,0
25,0,0.0,0.0,0.0002718735327959798,-8.908616729122812e-05,6.508139073530157e-06,-9.302771845342834e-06,0.0026302099378650856,-0.008655573316879273,0.030536800098536876,0.11916410793764057,0.028264404825792455,0,1,0,0,1,0
26,0,0.0040000000000000036,0.00028161081385525213,-0.002166549097886966,0.00021053604454446956,7.14326430649372e-06,5.203732837492253e-06,-0.0034874164855737133,0.018203935865495957,0.015440109178001649,0.15592079396835892,0.023479491267500197,0,0,1,0,1,0
27,0,0.008000000000000007,0.0005595970900951312,-0.0017246592869089028,-0.0009398213072540698,1.7650564110804857e-06,-1.0899810436624472e-05,-0.015920730959217533,-0.036689945340391494,-0.03905790963163058,0.17183957951100437,0.02320738083014853,0,1,1,1,1,0
28,0,-0.018000000000000002,-0.001935483870967742,0.001449092875917088,-0.00010110916746280951,-5.011010274896029e-06,-8.025263954123036e-06,0.004961352695643656,0.00040959973027732133,0.0033658784842964806,0.13067916154332745,0.033318952617453476,1,1,0,0,1,0
29,0,0.0,0.0,0.0005101354939358038,-0.0009509060925505172,-3.6016856055364225e-06,-2.1479125718955593e-05,0.005035042481090407,-0.02722195564537544,-0.00596314841904011,0.10257058474904482,0.046512395592739175,0,1,0,1,1,0
30,0,-0.10199999999999998,-0.011361104923145467,-0.002330462017886753,-0.0005841563284290502,-5.595261529346717e-05,-0.00011824405148856427,-0.02239240356402808,0.05353662761407252,-0.06211624289157225,0.11489629230285404,0.03667133136695483,1,1,1,1,1,0
31,0,0.0,0.0,0.000217940388553578,-5.08156162546021e-05,2.1886220335929013e-06,-1.436105351242654e-06,0.004420132754304501,-0.001785678233398702,-0.0009589442681061655,0.13550965413607532,0.029457808002226703,0,1,0,1,1,0
32,0,0.0,0.0,0.002383331423669033,-0.0001650485844231775,-3.6623414544241766e-06,-8.847194415227818e-06,0.004660274442937262,0.0023624455486537244,0.017321802903401906,0.1215871724080874,0.028295890525328604,0,1,0,0,1,0
33,0,0.0,0.0,0.0018931587739613176,-3.801848633024421e-05,1.3614267869467827e-07,-1.162413724936336e-06,0.004923252170112441,0.006751763948410705,0.016404404229029,0.12968510539812114,0.02590794605556329,0,1,0,0,1,0
34,0,-0.018000000000000002,-0.0017871326449563144,-0.0031124582537094825,-2.039833228549559e-05,6.714013324468594e-06,1.493067382360143e-05,0.005813599959168386,-0.04068757504464893,-0.02163974731831253,0.1400348986722863,0.03059569686496661,1,1,0,1,1,0
35,0,0.025999999999999995,0.0016630420877574506,0.004407664024803221,0.0005939254687766099,7.770686779527496e-06,5.116274865585313e-06,0.01875471977006074,0.05030414160449426,0.1358244804364368,0.15230148443834346,0.01977978204232902,0,0,0,0,1,0
36,0,0.0,0.0,0.0021361589678632054,-8.132246658443254e-05,-1.6562046059348957e-07,-3.1190645759642e-06,0.0055583877687435945,0.0030375424809406804,0.025091197471570847,0.11884254258788957,0.02827694248931187,0,1,0,0,1,0
37,0,0.0,0.0,0.0002929758753748707,-7.175007234063585e-05,7.605323718286165e-06,3.3617752390886465e-06,0.0038447742255984796,-0.008003356707036113,0.013154168040526493,0.12905827564155722,0.02244005078206622,0,1,0,0,1,0
38,0,5.672,0.5227649769585254,0.04456968605142517,0.035940817514019466,-0.00012403091671094925,-0.00018917622390726447,0.0488196230499853,2.11193955504019,-0.4153453303055139,0.1413960628996863,0.028472157416650754,0,0,0,1,1,0
39,0,-0.001999999999999988,-0.000223813786929275,-0.0007351593370443221,2.605454351686798e-05,2.291964788167511e-06,6.977457063473791e-06,0.002198767034830601,0.0018412231031492698,-0.03504751162707098,0.11062165713896685,0.03447644074113102,1,0,0,1,1,0
40,0,0.0,0.0,0.0009282890112067704,1.2481830079319467e-05,-1.7371434994433669e-06,-3.819490157628311e-06,0.0046954020189876045,-0.0002788961269519774,0.004874624698716801,0.14010802414006643,0.032716800418315546,0,0,0,0,1,0
41,0,0.0020000000000000018,0.00016688918558077463,0.0021596963978252753,1.1423640090709591e-05,-5.16806572801239e-06,-6.590557866145534e-06,0.003317246319316708,0.008212386023488616,0.004936701085556994,0.13877817403854992,0.025720726008822893,0,0,0,0,1,0
