episode,uncertainty_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
7,1,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,25,0.05,0.0041974479516454,3,0.09722920463015274,0.007909443564863006,0.6081347679177981,965,0.422874949260685,1.0256696924391229,4991,0.020888101329748145,0.024509462631929574,0.0006813107056300185,0.00044228514238058914,0.1337407699139956
7,0,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,27,0.054,0.004533243787777031,3,0.09882329458324436,0.008810228446107949,0.6010097620877173,1000,0.4158067013001776,1.0218964516823241,4956,0.02072753350008702,0.02409599402603196,0.0006828898063831292,0.000441950092556151,0.13814725529183697
8,1,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,0,0.0,0.0,0,0.11312821103093518,0.00688153330365234,0.647973743489995,1175,0.26354384707244904,0.9679247439809928,3007,0.02307637603784415,0.0445840174851308,0.0009103650364274204,0.00029459648243797536,0.18399586368801119
8,0,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,64,0.128,0.015303682448589193,5,0.10213148956034587,0.0015410916120691003,0.6461499896884397,815,0.36439277213894267,0.987706422997304,3367,0.020741540767909267,0.03725994847317046,0.00100126968883817,0.0005885373692503761,0.16975870344731114
9,1,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761,5.871161076011888,11.871161076011887,5936,11.872000000000634,1,186,0.372,0.03133423180592992,5,0.15059914927036944,0.014817884252710672,1.0546227362984943,865,0.7669269529846099,1.431146535345098,5071,0.03708482082499944,0.15286069430069216,0.0010656474286293537,0.0007850620243027134,0.20072449196341574
9,0,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761,5.871161076011888,11.871161076011887,5936,11.872000000000634,1,82,0.164,0.013814016172506738,3,0.15242759764183553,0.013091919964497828,1.0459866080851434,1090,0.6201728498355921,1.4141372102235206,4846,0.03506877646878667,0.1404123489867819,0.0010684095618949297,0.0007585677971843518,0.2030520873010541
10,1,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000,4.163684982941093,10.163684982941092,5082,10.164000000000064,1,34,0.068,0.006690279417552145,1,0.16737285591945822,0.012967970302526223,0.9262142697603947,1170,0.5201651331284294,1.2920560863891917,3912,0.04201056455737737,0.046879889896985015,0.000945122715018763,0.0005274468712326959,0.19060968423744598
10,0,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000,4.163684982941093,10.163684982941092,5082,10.164000000000064,1,32,0.064,0.006296733569460842,1,0.16234112945495494,0.014419698909129254,0.9195771364344782,1070,0.5500027244014009,1.300712837822567,4012,0.04132476370498676,0.04621824307962408,0.0009615676287040791,0.0005550494259976339,0.17690449556225207
11,1,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449,2.702741743501177,8.702741743501177,4352,8.703999999999576,1,55,0.11,0.012637867647058824,7,0.10030985752476072,0.0074338152372793705,0.6359232669830712,790,0.38255259807363423,0.972548665240965,3562,0.021425109837764154,0.03246556437591777,0.0009039434806519893,0.0005409982920300412,0.15675920553212858
11,0,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449,2.702741743501177,8.702741743501177,4352,8.703999999999576,1,80,0.16,0.01838235294117647,4,0.10143537562317977,0.007500320494389927,0.6340320256717284,810,0.37697836873076024,0.9720183782381379,3542,0.021436990525891035,0.03167031689824833,0.000896919415335588,0.0005249451608584783,0.1578793142544743
12,1,-0.635143779236128,0.4945097798234975,0.3876014879751466,0.016950959595316967,0.005,2106356452,672869837,2.91447167801394,8.914471678013939,4458,8.915999999999647,1,50,0.1,0.011215791834903545,4,0.11354820685777169,0.004356771317163797,0.7023854029537655,895,0.40766023807555357,1.0552739207044972,3563,0.021652345877272237,0.033907904679733376,0.0009377175182415608,0.0005817789040979628,0.16008193356395808
12,0,-0.635143779236128,0.4945097798234975,0.3876014879751466,0.016950959595316967,0.005,2106356452,672869837,2.91447167801394,8.914471678013939,4458,8.915999999999647,1,52,0.10400000000000001,0.011664423508299685,3,0.11387876209444507,0.00496875839113242,0.6997514554942001,905,0.40321349214644364,1.0548143858459635,3553,0.021589971791308258,0.03394883971982032,0.0009381905675417776,0.0005765689349031395,0.1629839592683054
13,1,-0.6301690767669349,0.21191340224661367,0.12409065579241241,0.010612911826852377,0.005,401942296,1809822167,6.786026503254552,12.786026503254552,6394,12.78800000000094,1,0,0.0,0.0,0,0.10126145461186198,0.0072185214399407395,0.6855117457046964,970,0.49687252542980187,1.0706129875415322,5424,0.019434848218508532,0.02214954921026069,0.0006119855521595264,0.00035337105994401606,0.13332368124814603
13,0,-0.6301690767669349,0.21191340224661367,0.12409065579241241,0.010612911826852377,0.005,401942296,1809822167,6.786026503254552,12.786026503254552,6394,12.78800000000094,1,0,0.0,0.0,0,0.10414137620201439,0.007494272599480805,0.68078824937689,1055,0.47275431417340447,1.0634064072880391,5339,0.019097840883990264,0.021882869014197347,0.0006173214272236664,0.000356569288224142,0.1400496971178491
14,1,-0.6417594234700046,0.3936703619484394,0.4854328613425538,0.007639015259593658,0.005,181052609,893821600,2.133003073905571,8.13300307390557,4067,8.133999999999386,1,0,0.0,0.0,0,0.12116321106831883,0.007984118996505675,0.7139586548007394,1100,0.3196238444995927,1.0371540763778206,2967,0.019939277865180533,0.02618830376646246,0.0008798648765941423,0.00024065987434151068,0.17990931331666904
