episode,target_err_mean,target_err_min,target_err_p95,hold_err_mean,hold_err_p95,attach_err_mean,attach_err_p95
1,0.39447478958218163,0.01360184701891008,1.0099621142608015,0.36735893852853196,0.9802870706119875,0.07436016224768036,0.11600647793453922
2,0.6249384028712641,0.013756961041743792,1.4261103114667841,0.6333914529523638,1.4108776554082674,0.08806136124769987,0.13811783125868934
3,0.4074050067412318,0.014024761728577743,1.0386215632604423,0.39104315843046367,1.0136523885007955,0.09347061135364264,0.13692497226670922
4,0.6110923490460735,0.010897613005684073,1.2477663273686055,0.6501544187597306,1.2204671288805564,0.09549282879234672,0.13950737708290303
5,0.47934667375393214,0.014839209611015996,1.2704599233170721,0.46909424354968254,1.2553120390459984,0.08264015564719511,0.13515689224022934
6,0.5040159808406404,0.012913415850284181,1.330656982765333,0.534934345649673,1.3381836618310887,0.10528081253955426,0.19049312334289925
7,0.4496033264968965,0.012177564613631175,1.0560381290089662,0.4465602131503683,1.0277212774675746,0.08512946464305006,0.13435347388564595
8,0.37802099156767266,0.013044710802702596,1.023263526610864,0.36399567503659125,0.987791883963583,0.06089726455083153,0.11145000130014501
9,0.6731332316107094,0.014601337943860714,1.4423766572996382,0.7669068539823383,1.431146535345098,0.11379983648957696,0.17904240646002048
10,0.49508240293717864,0.012381504928258895,1.3000444281022845,0.520126303197565,1.2920560863891917,0.0705288484683041,0.13090550437077264
11,0.39862342484101837,0.014873669151543104,1.0083804960565033,0.3824379037971065,0.972548665240965,0.09261925067662245,0.13574770504037714
12,0.423457306847619,0.016299796594771435,1.0799467576581916,0.4075373814615257,1.0552739207044972,0.09420244122377727,0.13766195635398354
13,0.49414459376105424,0.00861894622069488,1.0932101247878656,0.4968694751017806,1.0706129875415322,0.09451387945061447,0.13146475214862807
14,0.3914019704052961,0.01011890817156183,1.0783061999059973,0.3759473133547282,1.0516252911814874,0.06670266551845519,0.11141753987583249
15,0.5005467470052648,0.01053761290557017,1.2026829842179234,0.4789071248195452,1.1759508111256012,0.08169861109615437,0.1325186921734813
16,0.4386698429894153,0.014476084672251765,1.1027611452900083,0.4201023773462672,1.076985504318319,0.09062607811767401,0.13571487969664023
17,0.4441917287688092,0.015259938878379831,1.0450723889330293,0.43192038774254454,1.014158440644301,0.08029368290000626,0.13201622439438587
18,0.45395711782124337,0.012887494957901096,1.0726233876510487,0.4410072773094758,1.0398425734585532,0.08175869219360318,0.1338053669334941
19,0.43027788272739204,0.014549983417863037,1.015463099008397,0.4112408745251948,0.9927268472210479,0.08429257077270584,0.13313986152864865
20,0.4673320391373395,0.011992909449065897,1.0984209660956736,0.4511236464512544,1.0758974761066233,0.08037205048827699,0.1264148976468163
21,0.5073703948952095,0.00616862409854789,1.1405632236845225,0.5098684724668199,1.1153279411443708,0.09717075353468006,0.1360506274591562
22,0.4249033166168237,0.013729885650992184,1.109508587382115,0.395852097202358,1.0838452989074034,0.07687466874349912,0.1158695032549429
23,0.5109087985476746,0.010581109206499316,1.2395115809575974,0.6533883947392053,1.24351297964701,0.13596144180945036,0.25096802478503655
24,0.4997252460387445,0.006533095105383408,1.2045256240341469,0.49896182880469153,1.1842620298227795,0.09217451682518618,0.1251901567011729
25,0.5056477363266217,0.013552081051592392,1.2135931416338241,0.48564707638276394,1.1901269210707706,0.08129520369713311,0.13490479697867946
26,0.533451174186057,0.017106939454531823,1.3974945894701178,0.5975581273335507,1.3999137442779084,0.05969498788312649,0.14872127936703536
27,0.5961023079361203,0.013015963290302536,1.4125409278856167,0.651661055373201,1.4068505486450131,0.09588470284485974,0.144623415633985
28,0.4133802406260949,0.012857723097806651,1.0347059195244448,0.39270910698761097,1.0125683479103214,0.09402549597915207,0.1388866038891328
29,0.3983626787995589,0.007844218770461505,1.0525324439648607,0.3717233687186328,1.0289467154401215,0.08369987714721225,0.11467039557571611
30,0.5746096837258834,0.014306965004472719,1.4317952043852762,0.5769914634727883,1.4188882828974978,0.0925405207222398,0.13473167843360204
31,0.4865749532662433,0.011236872903365341,1.1951924369463318,0.4656046414100823,1.172288315046435,0.08655453843943615,0.13383243492225153
32,0.47582402532991613,0.015958945592798778,1.109585312300822,0.4609410456219797,1.0873522037902204,0.0819518545853381,0.13664833250157749
33,0.4781753947729983,0.015435956510984316,1.1110405263049825,0.46059076321343867,1.0840596132548541,0.08076798417460267,0.13634835413764781
34,0.4949123041299605,0.01379080332851044,1.2854074627576426,0.4851934301424391,1.2665180147355617,0.08254147115380489,0.13421449220410364
35,0.48687407035492175,0.01638889802162127,1.242626152928967,0.5771514292794356,1.25651288572504,0.12175946167368674,0.22432533379628272
36,0.4673401033063762,0.014454024934527228,1.081325933564432,0.46332997831363654,1.0607994293740524,0.08746802165174204,0.13742692117441999
37,0.5234377608186362,0.011493983362690407,1.1764257493859662,0.5196843883022029,1.1518199128465987,0.08475436133207855,0.12178443458962929
38,0.490505405974024,0.01637547976561419,1.274578589584235,0.47662269530253093,1.2603169378070258,0.08304350395842501,0.13398058720378644
39,0.49219045686724633,0.015323845777592219,1.2696459805801983,0.48259837857451104,1.2510856853997074,0.08417206511356651,0.13534100402097388
40,0.4139731997796542,0.014635699495170065,1.0590809415489828,0.39953348524268745,1.0286064866949025,0.09445171467293798,0.1378302450948167
41,0.4425051793456275,0.014543163684510974,1.0518126511395773,0.42823363122308244,1.0184817602975575,0.07993042241674658,0.1320057683861736
42,0.3789675133404534,0.00754008630341817,0.9970059275256389,0.35773038754518544,0.972949001692376,0.08494300936069828,0.11549838455150499
43,0.451653559839961,0.015482889071140187,1.2368711036023639,0.43667461468929214,1.2186853062766776,0.06677093767655862,0.10936496652635386
44,0.5379755449338655,0.010325467010772802,1.3795282332902197,0.5730389660394828,1.3754478398994199,0.06770322423253283,0.13528299455762366
45,0.4581405863627953,0.015225430370598047,1.175060102322667,0.44294589476008767,1.1497417266040788,0.09346833539718173,0.13880601352820432
46,0.49761830768167453,0.007819649373740202,1.3231075868945887,0.517576373139486,1.315956236175837,0.08730658011697083,0.1351591343105067
47,0.48251367526112937,0.016448624373437335,1.2378506749563356,0.4759447868248989,1.2154407051453553,0.08631588435499446,0.13326212823413316
48,0.5715259492237387,0.014243173223628385,1.396096162886763,0.5704036644618397,1.3822565491564223,0.09025457986723336,0.1333865360471902
49,0.43420366282287565,0.009019162110346052,1.2372556118891156,0.4291540584760263,1.2317912856626019,0.0965497910637837,0.13122308776686753
50,0.4533718127548643,0.013183643514502437,1.077336658934559,0.43861620010985164,1.0487454220746928,0.0834864271556394,0.13331741350058246
51,0.44426880618001213,0.013437897277296211,1.066254319533534,0.4234973770673869,1.0363737892249714,0.08503434902895896,0.13205508827826212
52,0.5098399862309526,0.005257692369839543,1.1760448118128022,0.5127340175132681,1.15709629970298,0.09799278499713698,0.1356870083577054
53,0.5900013897273048,0.01316380122784881,1.4483986540035165,0.5898472893553339,1.432364637722749,0.08834904391657793,0.1320393157990569
54,0.4763863189400517,0.01214429035539494,1.290257355277346,0.4794419812722352,1.2937045664122144,0.08428449095341195,0.14004030702015824
55,0.49530580807550706,0.00828382199697186,1.2198406915633635,0.4956533304188221,1.2029750894135678,0.09089113346925073,0.12542160238647238
56,0.43621953534642366,0.01519424162774724,1.1292264174348707,0.41602278237526247,1.1062950035880903,0.08676451062134447,0.13283064971300562
57,0.45610679173855234,0.013259048390258134,1.3203600157353141,0.4273091584407437,1.3175029975404786,0.05957720304541449,0.13414619030057257
58,0.39683614842837417,0.014543246696049329,0.9933960441953475,0.3716618779094161,0.9697931773269081,0.07545518225299258,0.126068757581371
59,0.4373305407638792,0.015376694269421067,1.134864075781618,0.41723849926489365,1.1077135023740683,0.08148897241375297,0.1319822992138712
60,0.4232689301507142,0.014081649578272728,1.0901240596498032,0.3948741820655728,1.064622848503516,0.07391552356643152,0.12037174949379247
