episode,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,win_attach_err_on
1,0.020495188427162025,-0.00919847757895055,1
2,-0.08340337155899769,-0.007465323530796944,1
3,-7.282149663978554e-05,-0.00025103221086239524,1
4,0.18969009649752638,-0.0010197812940771628,1
5,0.0007290671289924,-0.0016248669633113916,1
6,-0.016913408597541424,0.02211728986884945,0
7,-0.0028404277569065717,-0.001775321383663389,1
8,-0.0003034545870415073,-0.016157978791507162,1
9,0.053883932861099604,0.03423729957742033,0
10,0.002498724397176244,0.002276153590557606,0
11,-0.0008670335071203628,0.0017052384529932796,0
12,-0.0004129414680930088,-0.0017666505647355862,1
13,0.006318952901362862,0.007301275007374999,0
14,-0.0016376053409954405,-0.018630956019729653,1
15,-0.007841381709676964,-0.0009579590496907875,1
16,-0.0016725267429592017,0.000789627114216096,0
17,-0.0017540427200473663,-0.00016856754890241799,1
18,-0.0011167905369217634,0.000545225867398344,0
19,0.001574922325732253,-9.688489719657245e-05,1
20,-0.006756085907332898,0.002087350465471663,0
21,-0.0037188850416797203,-0.0002065817800727121,1
22,0.014821386096091405,-0.011214870057494872,1
23,0.04278978674335587,0.017393887462947635,0
24,-0.02114440479353913,-0.003981479801062254,1
25,-0.0107401749174445,0.0019400305665184248,0
26,-0.01245155046989832,-0.0067001235071686635,1
27,-0.0011586516253180301,0.01449453016711337,0
28,0.0011462238803426894,-0.002712943449736327,1
29,0.00019412256440415332,-0.011238311279361993,1
30,0.021783358211454606,0.008630711871508157,0
31,-0.0015500771521474999,-0.0010661894446233194,1
32,-0.0002372610314859691,-0.002038980562147061,1
33,0.0010101860749558433,-0.00542693994744918,1
34,0.0020464636425871485,-0.0024075884131526115,1
35,0.01450089865969334,-0.00513619894614388,1
36,-0.001879822629275718,0.0011351931951451566,0
37,-0.0036015622816850668,-0.007473287112136046,1
38,0.0026553211704051782,-0.0005373161249356551,1
39,0.0010475850126467345,-0.0002319161438225914,1
40,0.00043342554996295135,-0.00011142589916410262,1
41,-0.001479439278122885,3.8254251680733264e-05,0
42,-0.0048794539015280525,-0.008279839342555759,1
43,0.004693111551178575,-0.019581181109814647,1
44,0.043094466292006306,0.011374511397336709,0
45,-0.0018127265603904985,0.004260978191300682,0
46,0.006147785960095187,-0.008174906974344864,1
47,-0.017571016911178405,0.005976055512097372,0
48,0.09199539257041356,0.033790848098826334,0
49,-0.07809389907373082,0.018635804529071653,0
50,-0.003394245658257855,-0.0004625032392653189,1
