episode,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95
1,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,57,0.114,0.01320361362056984,0.09744509732198509,0.008195042207476633,0.6204878209151632,780,0.36741234386634164,0.9802870706119875,3537,0.021770917707572807,0.037217498396577814
2,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,1,26,0.052000000000000005,0.004296810444554619,0.1509031689665931,0.010862587631547791,1.0492449190029713,1055,0.6472963444034194,1.4154020786649422,4996,0.03432452013220175,0.13577551957035885
3,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,1,55,0.11,0.01174460815716421,0.10288915001827151,0.006497893012186555,0.6373114860266881,850,0.39118421741057474,1.0136523885007955,3833,0.022904398328478497,0.03278419135728584
4,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,119,0.23800000000000002,0.014843457652488462,0.10433064992334333,0.010393189070296256,0.7774852607461281,890,0.6501636546535391,1.2204671288805564,7127,0.03084357989226312,0.09284517463259782
5,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,73,0.146,0.015584970111016226,0.14159714294998,0.0016845890876680963,0.8528537251939747,1085,0.4691967077852418,1.2553120390459984,3599,0.02246126280190065,0.037280527014696085
6,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,287,0.5740000000000001,0.039640883977900554,0.1437468958686229,0.014786748195564695,1.0043664506652847,1355,0.5602735431354694,1.343808085600122,5885,0.03410115762329995,0.10263622823666507
7,-0.5752816015397156,0.4270983190437564,0.16957718862056498,0.0066405900149583575,0.005,1952292173,1608060721,5.911054008722441,11.911054008722441,5956,11.912000000000647,1,25,0.05,0.0041974479516454,0.09722920463015274,0.007909443564863006,0.6081347679177981,965,0.422874949260685,1.0256696924391229,4991,0.020888101329748145,0.024509462631929574
8,-0.5494103117593084,0.5915582201521778,0.48275361004816886,0.017924465781145035,0.005,885016550,895172049,2.363459346886378,8.363459346886378,4182,8.363999999999463,1,0,0.0,0.0,0.11312821103093518,0.00688153330365234,0.647973743489995,1175,0.26354384707244904,0.9679247439809928,3007,0.02307637603784415,0.0445840174851308
9,-1.0651335684848557,0.7218513418084886,0.3043665277034423,0.007732194825369766,0.005,1072142926,444839761,5.871161076011888,11.871161076011887,5936,11.872000000000634,1,186,0.372,0.03133423180592992,0.15059914927036944,0.014817884252710672,1.0546227362984943,865,0.7669269529846099,1.431146535345098,5071,0.03708482082499944,0.15286069430069216
10,-0.9328413615444964,0.34971787868825077,0.30803464851147033,0.01972502705484506,0.005,2097883089,10644000,4.163684982941093,10.163684982941092,5082,10.164000000000064,1,34,0.068,0.006690279417552145,0.16737285591945822,0.012967970302526223,0.9262142697603947,1170,0.5201651331284294,1.2920560863891917,3912,0.04201056455737737,0.046879889896985015
11,-0.5051505038873673,0.4369863410617344,0.34858559727894745,0.016819673409829535,0.005,2054219,1284739449,2.702741743501177,8.702741743501177,4352,8.703999999999576,1,55,0.11,0.012637867647058824,0.10030985752476072,0.0074338152372793705,0.6359232669830712,790,0.38255259807363423,0.972548665240965,3562,0.021425109837764154,0.03246556437591777
12,-0.635143779236128,0.4945097798234975,0.3876014879751466,0.016950959595316967,0.005,2106356452,672869837,2.91447167801394,8.914471678013939,4458,8.915999999999647,1,50,0.1,0.011215791834903545,0.11354820685777169,0.004356771317163797,0.7023854029537655,895,0.40766023807555357,1.0552739207044972,3563,0.021652345877272237,0.033907904679733376
13,-0.6301690767669349,0.21191340224661367,0.12409065579241241,0.010612911826852377,0.005,401942296,1809822167,6.786026503254552,12.786026503254552,6394,12.78800000000094,1,0,0.0,0.0,0.10126145461186198,0.0072185214399407395,0.6855117457046964,970,0.49687252542980187,1.0706129875415322,5424,0.019434848218508532,0.02214954921026069
14,-0.6417594234700046,0.3936703619484394,0.4854328613425538,0.007639015259593658,0.005,181052609,893821600,2.133003073905571,8.13300307390557,4067,8.133999999999386,1,0,0.0,0.0,0.12116321106831883,0.007984118996505675,0.7139586548007394,1100,0.3196238444995927,1.0371540763778206,2967,0.019939277865180533,0.02618830376646246
