episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
54,0.0,-0.013999999999999985,-0.0007795100222717146,-0.0027770825558449397,-0.00038652302781823356,-2.7952862241731498e-06,-2.65925312597148e-06,-0.002579100278297719,1.0,1.0,1.0,1.0
55,0.0,-0.094,-0.00810904071773637,-0.0037957099671753203,-0.0006214739207535888,2.3297451730132715e-06,-4.839264079230677e-06,-0.0001620509153710814,1.0,1.0,1.0,1.0
56,0.0,-0.0020000000000000018,-0.00022011886418666065,7.706507355079162e-05,-7.666742484620757e-05,-7.803117832507443e-06,-1.1093936386627685e-05,-0.0037963528167987703,1.0,1.0,1.0,1.0
57,0.0,-0.034,-0.001827171109200344,-0.0030890332643740692,-0.0002734751709047231,-6.704402762096632e-06,-4.0054831383319264e-06,-0.0043158911735208805,1.0,1.0,1.0,1.0
58,0.0,0.0,0.0,-0.000739654824777794,-0.00022260451549220746,-2.7859251813191913e-06,-9.778969443568662e-06,-0.009226019281470793,0.0,1.0,1.0,1.0
59,0.0,-0.008000000000000002,-0.00087070091423596,3.1525345209476585e-06,-9.229628332356118e-05,-3.7401637567811537e-06,-3.1731027289976497e-06,-0.004516884609727351,1.0,1.0,1.0,1.0
60,0.0,0.0,0.0,0.00019697908235230543,-0.00030583545532834183,-7.733145754081332e-06,-1.8507771941592968e-05,-0.0016677884338693327,0.0,1.0,1.0,1.0
61,0.0,-0.012000000000000004,-0.0015702695629416395,-0.0004772384205085495,-3.192561771205027e-06,-1.5450637694963427e-07,-9.283640479120544e-06,-0.003944810645676311,1.0,1.0,1.0,1.0
62,0.0,-0.025999999999999995,-0.0017800903738189782,-0.004264413697933178,-0.002037048448247744,-2.0200766635209907e-05,-2.7357408381856315e-05,-0.002852436685557569,1.0,1.0,1.0,1.0
63,0.0,0.0,0.0,-0.0034386721207567417,-0.00010857171809758141,4.425275243919954e-06,1.9500893236504388e-05,-0.004987420274553844,0.0,1.0,0.0,1.0
64,0.0,0.0,0.0,-0.0014942573226297967,-0.00014133830766790284,-8.950255836440222e-06,-6.937880650476037e-06,-0.003277490783085979,0.0,1.0,1.0,1.0
65,0.0,0.0,0.0,-0.0009552862271888923,-0.00010402099168066101,-1.3389019562661756e-05,-2.3030776628645835e-05,-0.007595507194371215,0.0,1.0,1.0,1.0
66,0.0,0.046000000000000006,0.005448945747453211,-0.0014400640990371583,0.00031282137802528254,7.933711755003792e-06,1.4942398500040035e-05,-0.0031878966026969158,0.0,0.0,0.0,1.0
67,0.0,-0.604,-0.07607052896725441,-0.021830955504969773,-0.0259804287937764,-0.0002617790288948024,-0.000575435085082622,-0.1286558665329332,1.0,1.0,1.0,1.0
68,0.0,0.0,0.0,-0.004201622457047999,-0.0004996737422218664,-3.961900688902284e-06,-5.088093041148722e-06,-0.005426301539386502,0.0,1.0,1.0,1.0
69,0.0,0.0,0.0,-0.002448222928213936,-0.00016177364507820834,-5.815689487699625e-06,-3.988485689688137e-06,-0.007134310711035319,0.0,1.0,1.0,1.0
70,0.0,0.26,0.02132895816242822,-0.011673157707068754,-0.00809458238313359,-0.0003118645995889758,-0.0004637897093479089,-0.12530102183480302,0.0,1.0,1.0,1.0
71,0.0,0.0,0.0,-0.0035800043871041243,-0.00044839678414191134,-2.1024087714226636e-06,1.714193695093847e-05,-0.006495133650018442,0.0,1.0,0.0,1.0
72,0.0,0.0,0.0,-0.0023304919542743857,-0.00017307616306769247,-1.256176979207949e-05,-1.88300022578738e-05,-0.010052161919056751,0.0,1.0,1.0,1.0
73,0.0,0.0,0.0,-0.003634826579089784,0.0004227157222663064,-4.56848904614943e-06,-1.3827473262405503e-05,0.0028142832755561065,0.0,0.0,1.0,0.0
74,0.0,-0.003999999999999997,-0.00037686074995289245,-0.0049392475544919046,0.0003926021555773259,3.1189467134228586e-05,7.994628147552069e-05,-0.0005925595073779655,1.0,0.0,0.0,1.0
75,0.0,-0.0020000000000000018,-0.00021556369907307655,0.0002784117885765436,2.5946338243508504e-05,-7.859004796540586e-07,1.6236647710742014e-06,-0.0019050926961152181,1.0,0.0,0.0,1.0
76,0.0,-0.017999999999999988,-0.00143312101910828,-0.0012759036450936678,-0.0003038581368738011,-2.5817602336830614e-06,-2.747757176427019e-06,-0.00017997267773300907,1.0,1.0,1.0,1.0
77,0.0,0.222,0.01822959435046806,0.005439289461263874,0.011462230650900743,0.0003100661714161635,0.00044098459993868007,0.10195261660258215,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,-0.0011077635500610777,-0.0003842732502345094,-7.291085688116523e-06,-1.143938018292374e-05,-0.003372954207403994,0.0,1.0,1.0,1.0
79,0.0,0.0,0.0,-0.00435073276260417,-0.0007099887690599285,-1.9228141672996508e-05,-2.41658972294544e-05,0.0025573799946143616,0.0,1.0,1.0,0.0
80,0.0,0.0,0.0,-0.005496893705037781,-0.0006434513890538531,-9.136136397980125e-06,-2.8867314791143042e-05,-0.006281293347451727,0.0,1.0,1.0,1.0
81,0.0,0.0,0.0,-0.0024146097043406256,-0.00017181931652784747,-7.836381334188724e-06,-6.491539014860052e-06,-0.004954341614462704,0.0,1.0,1.0,1.0
82,0.0,0.0,0.0,-0.0002677111909762664,-1.6611693359567387e-06,2.319810662339966e-06,-1.2056292034916087e-07,-0.0014413260786128035,0.0,1.0,1.0,1.0
83,0.0,0.0,0.0,-0.0027287688511421077,0.0002386928605222511,-1.4412310970583482e-05,-1.994814471518785e-05,-0.006351901581363367,0.0,0.0,1.0,1.0
84,0.0,0.0,0.0,-0.005334594475739085,-0.00027835256060661055,-1.316876125147064e-05,-2.6078943011847175e-05,-0.012128268602585701,0.0,1.0,1.0,1.0
85,0.0,0.0,0.0,-0.0007695004624306973,-0.0001727757256210754,1.3648874060834997e-05,3.454497153021458e-05,-0.0003099387586950053,0.0,1.0,0.0,1.0
86,0.0,0.02200000000000002,0.001453680454605524,-0.0008630012060236447,0.0002588310901789209,-2.3909339861758437e-06,-2.949908426014454e-06,-0.0007069895602762055,0.0,0.0,1.0,1.0
87,0.0,0.0,0.0,-0.0049474448597909,-3.332297095569141e-05,1.810960858083838e-05,4.600856056859859e-05,0.0005018163808854503,0.0,1.0,0.0,0.0
88,0.0,0.0,0.0,-0.004345695868050198,0.00041851957646238565,2.246724979921785e-05,5.291055924182541e-05,0.0009541857713997182,0.0,0.0,0.0,0.0
89,0.0,-0.00399999999999999,-0.0003625815808556924,-0.004627909455499485,0.002103524841263518,2.7661741929355414e-05,5.9331949760050965e-05,7.136248450692606e-05,1.0,0.0,0.0,0.0
90,0.0,0.0,0.0,-0.0017606128038509528,-0.0002995305836624995,2.0736228869152294e-06,4.561827538959598e-06,-0.0037741406710495307,0.0,1.0,0.0,1.0
91,0.0,-0.0020000000000000018,-0.0001230920728705065,-0.0018507343704721457,-0.00013656850534382592,-2.1523817712134404e-06,-4.149627632541375e-06,-0.000783945593460289,1.0,1.0,1.0,1.0
92,0.0,0.0,0.0,-0.0004395727524146159,-1.4366247294127915e-05,-4.3393773376999454e-06,7.007778510990112e-06,-0.004084126622200868,0.0,1.0,0.0,1.0
93,0.0,0.0,0.0,-0.0008189448246404551,-0.00010334918925097858,-8.222694771450119e-06,-2.6929230498821824e-06,-0.0025004576762668596,0.0,1.0,1.0,1.0
94,0.0,-0.05599999999999994,-0.005113221329437541,0.0029063244032894453,0.006567091455475238,3.843681412972933e-06,-1.3254338241090605e-05,-0.04739083015882459,1.0,0.0,1.0,1.0
95,0.0,-0.001999999999999988,-0.00012735608762098807,-0.0027842765159297456,-0.0006583566409188099,-5.680647690853302e-06,-1.0493468886709932e-05,0.0012233955717133038,1.0,1.0,1.0,0.0
